Commodity, Weight in Kg, Price in Rs
Brinjal/கத்தரிக்காய், 1, 36
Tomotto ottu/தக்காளி ஒட்டு, 1, 18
LadyFinger/வெண்டைக்காய், 1, 16
SnakeGuard/புடலங்காய், 1, 18
BitterGourd/பாகற்காய், 1, 30
Bottlegourd/சுரைக்காய், 1, 8
Pumpkin/பூசணிக்காய், 1, 12
Bean/அவரை, 1, 30
ClusterBeans/கொத்தவரை, 1, 14
Red Chillies/குண்டு மிளகாய், 1, 28
Onion/வெங்காயம், 1, 60
Pallari/பல்லாரி, 1, 55
Ginger/இஞ்சி, 1, 100
Potato/உருளைக்கிழங்கு, 1, 22
Radish/முள்ளங்கி, 1, 14
Mango/மாங்காய், 1, 64
Cabbage/முட்டைக்கோஸ், 1, 18
Carrot/கேரட், 1, 40
Beetroot/பீட்ரூட், 1, 24
Soybeans/சோயாபீன்ஸ், 1, 76
Drumstickbeans/முருங்கைபீன்ஸ், 1, 46
butterbeans/பட்டர்பீன்ஸ், 1, 80
Banana nut/வாழைக்காய், 1, 03
Banana stem/வாழைத்தண்டு, 1, 8
BananaFlower/வாழைப்பூ, 1, 07
Curry leaves/கருவேப்பிலை, 1, 20
Coriander leaves/மல்லி இலை, 1, 40
Mint/புதினா, 1, 30
GreensLeaves/கீரைக்கட்டு, 1, 08
Garlic/பூண்டு, 1, 100 to 130
ButtonMushrooms/ பட்டன்காளான், 1, 190
Papaya/ பப்பாளிப்பழம், 1, 20
SavSav/ சவ்சவ், 1, 24
