,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal/கத்தரிக்காய், 1, 38,2013-12-24
1,Tomotto ottu/தக்காளி ஒட்டு, 1, 16,2013-12-24
2,LadyFinger/வெண்டைக்காய், 1, 18,2013-12-24
3,SnakeGuard/புடலங்காய், 1, 20,2013-12-24
4,BitterGourd/பாகற்காய், 1, 24,2013-12-24
5,Bottlegourd/சுரைக்காய், 1, 10,2013-12-24
6,Pumpkin/பூசணிக்காய், 1, 14,2013-12-24
7,Bean/அவரை, 1, 34,2013-12-24
8,ClusterBeans/கொத்தவரை, 1, 18,2013-12-24
9,Red Chillies/குண்டு மிளகாய், 1, 26,2013-12-24
10,Onion/வெங்காயம், 1, 30,2013-12-24
11,Pallari/பல்லாரி, 1, 24,2013-12-24
12,Ginger/இஞ்சி, 1, 80,2013-12-24
13,Potato/உருளைக்கிழங்கு, 1, 28,2013-12-24
14,Radish/முள்ளங்கி, 1, 16,2013-12-24
15,Mango/மாங்காய், 1, 36,2013-12-24
16,Cabbage/முட்டைக்கோஸ், 1, 20,2013-12-24
17,Carrot/கேரட், 1, 26,2013-12-24
18,Beetroot/பீட்ரூட், 1, 20,2013-12-24
19,Soybeans/சோயாபீன்ஸ், 1, 74,2013-12-24
20,Drumstickbeans/முருங்கைபீன்ஸ், 1, 40,2013-12-24
21,butterbeans/பட்டர்பீன்ஸ், 1, 84,2013-12-24
22,Banana nut/வாழைக்காய், 1 piece, 3,2013-12-24
23,Banana stem/வாழைத்தண்டு, 1, 8,2013-12-24
24,BananaFlower/வாழைப்பூ, 1, 8,2013-12-24
25,Curry leaves/கருவேப்பிலை, 1, 20,2013-12-24
26,Coriander leaves/மல்லி இலை, 1, 35,2013-12-24
27,Mint/புதினா, 1, 30,2013-12-24
28,GreensLeaves/கீரைக்கட்டு, 1, 8,2013-12-24
29,Garlic/பூண்டு, 1, 100 to 140,2013-12-24
30,ButtonMushrooms/ பட்டன்காளான், 1, 188,2013-12-24
31,Papaya/ பப்பாளிப்பழம், 1, 20,2013-12-24
32,SavSav/ சவ்சவ், 1, 16,2013-12-24
