,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt, 1, 50,2015- 1-4
1,Avarai Kolee, 1, 20,2015- 1-4
2,Avarai ottu, 1, –,2015- 1-4
3,Beans, 1, 50,2015- 1-4
4,Beetroot, 1, 12,2015- 1-4
5,Bellary, 1, 20,2015- 1-4
6,C Flower, 1 Flower, 20,2015- 1-4
7,C Vengayam, 1, 15,2015- 1-4
8,Chaw Chaw, 1, 20,2015- 1-4
9,Kaththari Disco, 1, 10,2015- 1-4
10,Kaththari Green, 1, 15,2015- 1-4
11,Kothavarai, 1, 20,2015- 1-4
12,Milagai Samba, 1, 20,2015- 1-4
13,Milagai urundai, 1, 25,2015- 1-4
14,Mullaingi, 1, 8,2015- 1-4
15,Murungai chedi, 1, 90,2015- 1-4
16,Murungai Maram, 1, 80,2015- 1-4
17,Nelli, 1, 12,2015- 1-4
18,Pavarkai, 1, 20,2015- 1-4
19,Perkangkai, 1, 12,2015- 1-4
20,Pudalai, 1, 12,2015- 1-4
21,Red Pusanikkai, 1, 3,2015- 1-4
22,Sambar Vellari, 1, 5,2015- 1-4
23,Suraikai, 1, 8,2015- 1-4
24,Thakkali, 1, 8,2015- 1-4
25,Thatta payaru, 1, 15,2015- 1-4
26,Vendai, 1, 12,2015- 1-4
