,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 44,2015-7-17
1,1,Avarai Kolee, 1, 30,2015-7-17
2,2,Avarai ottu, 1, –,2015-7-17
3,3,Beans, 1, 35,2015-7-17
4,4,Beetroot, 1, 8,2015-7-17
5,5,Bellary, 1, 27,2015-7-17
6,6,C Flower, 1 Flower, 10,2015-7-17
7,7,C Vengayam, 1, 45,2015-7-17
8,8,Chaw Chaw, 1, 20,2015-7-17
9,9,Kaththari Disco, 1, 8,2015-7-17
10,10,Kaththari Green, 1, 7,2015-7-17
11,11,Kothavarai, 1, 10,2015-7-17
12,12,Milagai Samba, 1, 14,2015-7-17
13,13,Milagai urundai, 1, 13,2015-7-17
14,14,Mullaingi, 1, 4,2015-7-17
15,15,Murungai chedi, 1, 34,2015-7-17
16,16,Murungai Maram, 1, 30,2015-7-17
17,17,Nelli, 1, 18,2015-7-17
18,18,Pavarkai, 1, 14,2015-7-17
19,19,Perkangkai, 1, 7,2015-7-17
20,20,Pudalai, 1, 10,2015-7-17
21,21,Red Pusanikkai, 1, 6,2015-7-17
22,22,Sambar Vellari, 1, 4,2015-7-17
23,23,Suraikai, 1, 7,2015-7-17
24,24,Thakkali, 1, 18,2015-7-17
25,25,Thatta payaru, 1, 12,2015-7-17
26,26,Vendai, 1, 20,2015-7-17
