,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Avarai Belt, 1, 25,2015- 3-4
1,1,Avarai Kolee, 1, 12,2015- 3-4
2,2,Avarai ottu, 1, –,2015- 3-4
3,3,Beans, 1, 12,2015- 3-4
4,4,Beetroot, 1, 3,2015- 3-4
5,5,Bellary, 1, 22,2015- 3-4
6,6,C Flower, 1 Flower, 10,2015- 3-4
7,7,C Vengayam, 1, 25,2015- 3-4
8,8,Chaw Chaw, 1, 20,2015- 3-4
9,9,Kaththari Disco, 1, 4,2015- 3-4
10,10,Kaththari Green, 1, 5,2015- 3-4
11,11,Kothavarai, 1, 20,2015- 3-4
12,12,Milagai Samba, 1, 11,2015- 3-4
13,13,Milagai urundai, 1, 10,2015- 3-4
14,14,Mullaingi, 1, 8,2015- 3-4
15,15,Murungai chedi, 1, 33,2015- 3-4
16,16,Murungai Maram, 1, 30,2015- 3-4
17,17,Nelli, 1, 18,2015- 3-4
18,18,Pavarkai, 1, 10,2015- 3-4
19,19,Perkangkai, 1, 8,2015- 3-4
20,20,Pudalai, 1, 2,2015- 3-4
21,21,Red Pusanikkai, 1, 4,2015- 3-4
22,22,Sambar Vellari, 1, 5,2015- 3-4
23,23,Suraikai, 1, 2,2015- 3-4
24,24,Thakkali, 1, 5,2015- 3-4
25,25,Thatta payaru, 1, 13,2015- 3-4
26,26,Vendai, 1, 8,2015- 3-4
