Commodity, Weight in Kg, Price in Rs
Lemon/எலுமிச்சை, 1, 20 to 25
Tomato/தக்காளி 1st Quality, 1, 4 to 5
Tomato/தக்காளி 2nd Quality, 1, –
Small Onion/சிறிய வெங்காயம், 1, 40 to 60
Bellary/பெல்லாரி, 1, 38 to 40
Beans/பீன்ஸ் 1st Quality, 1, 6 to 12
Beans/பீன்ஸ் 2nd Quality, 1, –
Carrot/கேரட் 1st Quality, 1, 20 to 50
Carrot/கேரட் 2nd Quality, 1, 15 to 45
Lady Finger/வெண்டைக்காய், 1, 10
Tree Drumstick/மரம் முருங்கை, 1, 70
Plant Drumstick/முருங்கை, 1, 80 to 90
Beans/அவரை ஒட்டு, 1, 6 to 12
Green Pulses/பச்சை பயிறு, 1, 10
White Pulses/வெள்ளை பயிறு, 1, 14
Zucchini/சுரைக்காய், 1, 2
Beetroot/பீட்ரூட், 1, 4
White Pumpkin/வெள்ளை பூசணிக்காய், 1, 2 to 3
Sambar Pumpkin/சாம்பார் பூசணிக்காய், 1, 3 to 4
Kalla Manga/கள்ள மாங்காய், 1, 130
OOrutu Manga/உருட்டு மாங்காய், 1, 110
Potato/உருளைக்கிழங்கு 1st Quality, 1, 15 to 20
Potato/உருளைக்கிழங்கு 2nd Quality, 1, 10 to 15
Coconut/தேங்காய் 1st Quality, 1, 45 to 50
Coconut/தேங்காய் 2nd Quality, 1, 40 to 45
Green Chilli/பச்சை மிளகாய், 1, 8 to 11
Cauliflower/காலிஃபிளவர் 1st Quality, 1, 15 to 20
Cauliflower/காலிஃபிளவர் 2nd Quality, 1, 10 to 15
Green Brinjal/கத்தரிக்காய் பச்சை, 1, 10 to 15
Blue Brinjal/கத்தரிக்காய் நீலம், 1, 10
Banana Thar/வாழை தார், 1, 25 to 30
Curry Leaves/கறிவேப்பிலை, 1, 15 to 20
Gourd/புடலங்காய் 1st Quality, 1, 3
Gourd/புடலங்காய் 2nd Quality, 1, –
Coriander/கொத்தமல்லி 1st Quality, 1, 8 to 10
Coriander/கொத்தமல்லி 2nd Quality, 1, –
Radish/முள்ளங்கி 1st Quality, 1, 5 to 10
Radish/முள்ளங்கி 2nd Quality, 1, –
Ginger/இஞ்சி, 1, 25 to 30
Butter Beans/பட்டர் பீன்ஸ், 1, 100
Cabbage/முட்டை கோஸ், 1, 10 to 15
Green Peas/பச்சை பட்டாணி, 1, 40 to 50
Bitter Gourd/பாகற்காய், 1, 12 to 15
Nookal/நூக்கல், 1, 10 to 15
Chaw Chaw/சவ்சவ், 1, 5 to 6
Kovakkai/கோவக்காய், 1, 8 to 10
Cluster Beans/கொத்தவரங்காய், 1, 12 to 15
Gooseberry/நெல்லிக்காய், 1, 30 to 35
Narthangai/நார்த்தங்காய், 1, 30 to 40
Cucumber/வெள்ளரிக்காய், 1, 8 to 10
Garlic/வெள்ளை பூண்டு, 1, 40 to 50
Gourd/பீர்க்கங்காய், 1, 10 to 12
Small Tuber/சிறு கிழங்கு, 1, 25 to 30
Colocasia/சேப்பங்கிழங்கு, 1, 25 to 30
Soya beans/சோயா பீன்ஸ், 1, 80 to 100
Butter Soya/பட்டர் சோயா, 1, 80 to 100
Senai Kilangu/சேனை கிழங்கு, 1, 25 to 30
Karunai Kilangu/கருணைக்கிழங்கு, 1, 25 to 30
Drumstick beans/முருங்கை பீன்ஸ், 1, 10
Mangai Inji/மாங்காய் இஞ்சி, 1, 30 to 35
