,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Lemon/எலுமிச்சை,1, 25 to 30,2018-01-10
1,Tomato/தக்காளி 1st Quality,1, 5 to 6,2018-01-10
2,Tomato/தக்காளி 2nd Quality,1, –,2018-01-10
3,Small Onion/சிறிய வெங்காயம்,1, 30 to 45,2018-01-10
4,Bellary/பெல்லாரி,1, 40 to 45,2018-01-10
5,Beans/பீன்ஸ் 1st Quality,1, 10 to 15,2018-01-10
6,Beans/பீன்ஸ் 2nd Quality,1, 10,2018-01-10
7,Carrot/கேரட் 1st Quality,1, 30 to 40,2018-01-10
8,Carrot/கேரட் 2nd Quality,1, 25 to 35,2018-01-10
9,Lady Finger/வெண்டைக்காய்,1, 13,2018-01-10
10,Tree Drumstick/மரம் முருங்கை,1, –,2018-01-10
11,Plant Drumstick/முருங்கை,1, 70 to 110,2018-01-10
12,Beans/அவரை ஒட்டு,1, 8 to 12,2018-01-10
13,Green Pulses/பச்சை பயிறு,1, 8,2018-01-10
14,White Pulses/வெள்ளை பயிறு,1, 12,2018-01-10
15,Zucchini/சுரைக்காய்,1, 2,2018-01-10
16,Beetroot/பீட்ரூட்,1, 6,2018-01-10
17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018-01-10
18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2018-01-10
19,Kalla Manga/கள்ள மாங்காய்,1, 130,2018-01-10
20,OOrutu Manga/உருட்டு மாங்காய்,1, 1210,2018-01-10
21,Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2018-01-10
22,Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2018-01-10
23,Coconut/தேங்காய் 1st Quality,1, 40 to 48,2018-01-10
24,Coconut/தேங்காய் 2nd Quality,1, 35 to 43,2018-01-10
25,Green Chilli/பச்சை மிளகாய்,1, 10 to 13,2018-01-10
26,Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018-01-10
27,Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018-01-10
28,Green Brinjal/கத்தரிக்காய் பச்சை,1, 10 to 15,2018-01-10
29,Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10,2018-01-10
30,Banana Thar/வாழை தார்,1, 25 to 30,2018-01-10
31,Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2018-01-10
32,Gourd/புடலங்காய் 1st Quality,1, 3,2018-01-10
33,Gourd/புடலங்காய் 2nd Quality,1, –,2018-01-10
34,Coriander/கொத்தமல்லி 1st Quality,1, 8 to 10,2018-01-10
35,Coriander/கொத்தமல்லி 2nd Quality,1, –,2018-01-10
36,Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018-01-10
37,Radish/முள்ளங்கி 2nd Quality,1, –,2018-01-10
38,Ginger/இஞ்சி,1, 25 to 30,2018-01-10
39,to 30Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018-01-10
40,Cabbage/முட்டை கோஸ்,1, 6 to 10,2018-01-10
41,Green Peas/பச்சை பட்டாணி,1, 40 to 50,2018-01-10
42,Bitter Gourd/பாகற்காய்,1, 10 to 12,2018-01-10
43,Nookal/நூக்கல்,1, 10 to 15,2018-01-10
44,Chaw Chaw/சவ்சவ்,1, 6,2018-01-10
45,Kovakkai/கோவக்காய்,1, 13,2018-01-10
46,Cluster Beans/கொத்தவரங்காய்,1, 13,2018-01-10
47,Gooseberry/நெல்லிக்காய்,1, 35 to 38,2018-01-10
48,Narthangai/நார்த்தங்காய்,1, 25 to 30,2018-01-10
49,Cucumber/வெள்ளரிக்காய்,1, 7,2018-01-10
50,Garlic/வெள்ளை பூண்டு,1, 100 to 120,2018-01-10
51,Gourd/பீர்க்கங்காய்,1, 15 to 20,2018-01-10
52,Small Tuber/சிறு கிழங்கு,1, 40,2018-01-10
53,Colocasia/சேப்பங்கிழங்கு,1, 35,2018-01-10
54,Soya beans/சோயா பீன்ஸ்,1, 80,2018-01-10
55,Butter Soya/பட்டர் சோயா,1, 80,2018-01-10
56,Senai Kilangu/சேனை கிழங்கு,1, 30,2018-01-10
57,Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2018-01-10
58,Drumstick beans/முருங்கை பீன்ஸ்,1, 20,2018-01-10
59,Mangai Inji/மாங்காய் இஞ்சி,1, 40,2018-01-10
