Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 18
Tomotto ottu, 1, 7
Ladys Finger, 1, 20
Snake Guard, 1, 12
Bitter Gourd, 1, 10
Bottle gourd, 1, 8
Pumpkin, 1, 14
Bean, 1, 34
Cluster Beans, 1, 16
Red Chilies, 1, 16
Onion, 1, 20
Pallari, 1, 22
Ginger, 1, –
Potato, 1, 20
Radish, 1, 10
Mango, 1, –
Cabbage, 1, 14
Carrot, 1, 26
Beetroot, 1, 14
Soybeans, 1, 70
Drumstick beans, 1, 30
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 10
Banana Flower, 1, 8
Curry leaves, 1, 20
Coriander leaves, 1, 15
Mint, 1, 15
Greens Leaves, 1, 10
Garlic, 1, 100-180
Button Mushrooms, 1, 180
Papaya, 1, 20
SavSav, 1, 14
Sapotta, 1, 20
