Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 30
Tomotto ottu, 1, 28
Ladys Finger, 1, 14
Snake Guard, 1, 20
Bitter Gourd, 1, 28
Bottle gourd, 1, 10
Pumpkin, 1, 14
Bean, 1, 44
Cluster Beans, 1, 16
Red Chilies, 1, 50
Onion, 1, 50
Pallari, 1, 32
Ginger, 1, –
Potato, 1, 20
Radish, 1, 20
Mango, 1, –
Cabbage, 1, 20
Carrot, 1, 36
Beetroot, 1, 44
Soybeans, 1, 90
Drumstick beans, 1, 60
butter beans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 10
Banana Flower, 1, 14
Curry leaves, 1, 20
Coriander leaves, 1, 30
Mint, 1, 25
Greens Leaves, 1, 12
Garlic, 1, 120
Button Mushrooms, 1, 200
Papaya, 1, 18
SavSav, 1, 16
Sapotta, 1, 16
