,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 30,2015-10-5
1,Tomotto ottu / Thakkali Ottu, 1, 16,2015-10-5
2,Lady’s Finger / Venda Kai, 1, 24,2015-10-5
3,Snake Guard / Pudalai, 1, 14,2015-10-5
4,Bitter Gourd / Pakar kai, 1, 20,2015-10-5
5,Bottle gourd / Sura kai, 1, 8,2015-10-5
6,Pumpkin / Pusani kai, 1, 14,2015-10-5
7,Beans / Avarai Kai, 1, 36,2015-10-5
8,Cluster Beans / Kothavarai, 1, 12,2015-10-5
9,Red Chilies / Kundu Milagai, 1, 36,2015-10-5
10,Small Onion / Chinna Vengayam, 1, 40,2015-10-5
11,Big Onion / Pallari, 1, 50,2015-10-5
12,Ginger /  Inji, 1, –,2015-10-5
13,Potato / Urulai Kelangu, 1, 24,2015-10-5
14,Radish / Mulangi, 1, 14,2015-10-5
15,Mango / Maa, 1, –,2015-10-5
16,Cabbage / Mutta Kose, 1, 16,2015-10-5
17,Carrot, 1, 26,2015-10-5
18,Beetroot, 1, 10,2015-10-5
19,Soya Beans, 1, 70,2015-10-5
20,Drumstick Beans / Murungai Beans, 1, 32,2015-10-5
21,Butter beans, 1, –,2015-10-5
22,Banana nut / Vala kai, 1 piece, 4,2015-10-5
23,Banana stem / Vala Thandu, 1, 10,2015-10-5
24,Banana Flower / Vala Poo, 1, 10,2015-10-5
25,Curry leaves / Karu Vepilai, 1, 15,2015-10-5
26,Coriander leaves / Malli Ilai, 1, 25,2015-10-5
27,Mint / Puthina, 1, 20,2015-10-5
28,Greens Leaves / Keerai Kattu, 1, 12,2015-10-5
29,Garlic / Poondu, 1, 130,2015-10-5
30,Button Mushrooms / Button Kaalan, 1, 180,2015-10-5
31,Papaya / Papali, 1, 20,2015-10-5
32,Sav Sav, 1, 16,2015-10-5
33,Sapotta, 1, 20,2015-10-5
