Commodity, Weight in Kg, Price in Rs
Brinjal / Kathari, 1, 24
Tomotto ottu / Thakkali Ottu, 1, 20
Lady’s Finger / Venda Kai, 1, 30
Snake Guard / Pudalai, 1, 14
Bitter Gourd / Pakar kai, 1, 26
Bottle gourd / Sura kai, 1, 8
Pumpkin / Pusani kai, 1, 14
Beans / Avarai Kai, 1, 34
Cluster Beans / Kothavarai, 1, 16
Red Chilies / Kundu Milagai, 1, 30
Small Onion / Chinna Vengayam, 1, 40
Big Onion / Pallari, 1, 44
Ginger /  Inji, 1, –
Potato / Urulai Kelangu, 1, 24
Radish / Mulangi, 1, 16
Mango / Maa, 1, –
Cabbage / Mutta Kose, 1, 20
Carrot, 1, 36
Beetroot, 1, 14
Soya Beans, 1, 80
Drumstick Beans / Murungai Beans, 1, 36
Butter beans, 1, –
Banana nut / Vala kai, 1 piece, 4
Banana stem / Vala Thandu, 1, 12
Banana Flower / Vala Poo, 1, 10
Curry leaves / Karu Vepilai, 1, 20
Coriander leaves / Malli Ilai, 1, 35
Mint / Puthina, 1, 30
Greens Leaves / Keerai Kattu, 1, 12
Garlic / Poondu, 1, 100
Button Mushrooms / Button Kaalan, 1, 200
Papaya / Papali, 1, 20
Sav Sav, 1, 14
Sapotta, 1, 24
