,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-23
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-23
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-23
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-23
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-23
33,33,33,33,33,33,Sapotta, 1, –,2017-1-23
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-23
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 58,2017-1-24
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 16,2017-1-24
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 40,2017-1-24
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 14,2017-1-24
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 32,2017-1-24
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-24
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 15,2017-1-24
7,7,7,7,7,7,Beans / Avarai Kai, 1, 18,2017-1-24
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 18,2017-1-24
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-24
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 26,2017-1-24
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-24
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-24
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 26,2017-1-24
14,14,14,14,14,14,Radish / Mulangi, 1, 18,2017-1-24
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-24
16,16,16,16,16,16,Cabbage / Mutta Kose, 1, 12,2017-1-24
17,17,17,17,17,17,Carrot, 1, 24,2017-1-24
18,18,18,18,18,18,Beetroot, 1, 24,2017-1-24
19,19,19,19,19,19,Soya Beans, 1, 90,2017-1-24
20,20,20,20,20,20,Drumstick Beans / Murungai Beans, 1, 30,2017-1-24
21,21,21,21,21,21,Butter beans, 1, –,2017-1-24
22,22,22,22,22,22,Banana nut / Vala kai, 1 piece, 4,2017-1-24
23,23,23,23,23,23,Banana stem / Vala Thandu, 1, 10,2017-1-24
24,24,24,24,24,24,Banana Flower / Vala Poo, 1, 10,2017-1-24
25,25,25,25,25,25,Curry leaves / Karu Vepilai, 1, 20,2017-1-24
26,26,26,26,26,26,Coriander leaves / Malli Ilai, 1, –,2017-1-24
27,27,27,27,27,27,Mint / Puthina, 1, 15,2017-1-24
28,28,28,28,28,28,Greens Leaves / Keerai Kattu, 1, 12,2017-1-24
29,29,29,29,29,29,Garlic / Poondu, 1, –,2017-1-24
30,30,30,30,30,30,Button Mushrooms / Button Kaalan, 1, –,2017-1-24
31,31,31,31,31,31,Papaya / Papali, 1, 20,2017-1-24
32,32,32,32,32,32,Sav Sav, 1, 24,2017-1-24
33,33,33,33,33,33,Sapotta, 1, –,2017-1-24
34,34,34,34,34,34,Puli / Tamarind, 1, 80,2017-1-24
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Brinjal / Kathari, 1, 50,2017-1-26
1,1,1,1,1,1,Tomotto ottu / Thakkali Ottu, 1, 18,2017-1-26
2,2,2,2,2,2,Lady’s Finger / Venda Kai, 1, 30,2017-1-26
3,3,3,3,3,3,Snake Guard / Pudalai, 1, 14,2017-1-26
4,4,4,4,4,4,Bitter Gourd / Pakar kai, 1, 30,2017-1-26
5,5,5,5,5,5,Bottle gourd / Sura kai, 1, 8,2017-1-26
6,6,6,6,6,6,Pumpkin / Pusani kai, 1, 15,2017-1-26
7,7,7,7,7,7,Beans / Avarai Kai, 1, 12,2017-1-26
8,8,8,8,8,8,Cluster Beans / Kothavarai, 1, 22,2017-1-26
9,9,9,9,9,9,Red Chilies / Kundu Milagai, 1, 60,2017-1-26
10,10,10,10,10,10,Small Onion / Chinna Vengayam, 1, 25,2017-1-26
11,11,11,11,11,11,Big Onion / Pallari, 1, 20,2017-1-26
12,12,12,12,12,12,Ginger / Inji, 1, –,2017-1-26
13,13,13,13,13,13,Potato / Urulai Kelangu, 1, 24,2017-1-26
14,14,14,14,14,14,Radish / Mulangi, 1, 20,2017-1-26
15,15,15,15,15,15,Mango / Maa, 1, –,2017-1-26
