Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 35,2017_12_04
Tomato/தக்காளி 1st Quality,1, 20 to 25,2017_12_04
Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017_12_04
Small Onion/சிறிய வெங்காயம்,1, 110 to 140,2017_12_04
Bellary/பெல்லாரி,1, 45 to 50,2017_12_04
Beans/பீன்ஸ் 1st Quality,1, 14 to 26,2017_12_04
Beans/பீன்ஸ் 2nd Quality,1, 15,2017_12_04
Carrot/கேரட் 1st Quality,1, 30 to 40,2017_12_04
Carrot/கேரட் 2nd Quality,1, 25 to 35,2017_12_04
Lady Finger/வெண்டைக்காய்,1, 10,2017_12_04
Tree Drumstick/மரம் முருங்கை,1, 90,2017_12_04
Plant Drumstick/செடி முருங்கை,1, 110,2017_12_04
Beans/அவரை ஒட்டு,1, 8 to 25,2017_12_04
Green Pulses/பச்சை பயிறு,1, 6,2017_12_04
White Pulses/வெள்ளை பயிறு,1, 10,2017_12_04
Zucchini/சுரைக்காய்,1, 2,2017_12_04
Beetroot/பீட்ரூட்,1, 12,2017_12_04
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3,2017_12_04
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 5,2017_12_04
Kalla Manga/கள்ள மாங்காய்,1, 85,2017_12_04
OOrutu Manga/உருட்டு மாங்காய்,1, 95,2017_12_04
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017_12_04
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_12_04
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017_12_04
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_12_04
Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2017_12_04
Cauliflower/காலிஃபிளவர் 1st Quality,1, 20 to 25,2017_12_04
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 15 to 20,2017_12_04
Green Brinjal/கத்தரிக்காய் பச்சை,1, 15,2017_12_04
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 15,2017_12_04
Banana Thar/வாழை தார்,1, 22 to 24,2017_12_04
Curry Leaves/கறிவேப்பிலை,1, 15,2017_12_04
Gourd/புடலங்காய் 1st Quality,1, 3,2017_12_04
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_04
Coriander/கொத்தமல்லி 1st Quality,1, 7 to 10,2017_12_04
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017_12_04
Radish/முள்ளங்கி 1st Quality,1, 20,2017_12_04
Radish/முள்ளங்கி 2nd Quality,1, 15,2017_12_04
Ginger/இஞ்சி,1, 30 to 35,2017_12_04
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017_12_04
Cabbage/முட்டை கோஸ்,1, 20 to 30,2017_12_04
Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017_12_04
Bitter Gourd/பாகற்காய்,1, 7.50,2017_12_04
Nookal/நூக்கல்,1, 20,2017_12_04
Chaw Chaw/சவ்சவ்,1, 6,2017_12_04
Kovakkai/கோவக்காய்,1, 16,2017_12_04
Cluster Beans/கொத்தவரங்காய்,1, 10,2017_12_04
Gooseberry/நெல்லிக்காய்,1, 15 to 20,2017_12_04
Narthangai/நார்த்தங்காய்,1, 16,2017_12_04
Cucumber/வெள்ளரிக்காய்,1, 15,2017_12_04
Garlic/வெள்ளை பூண்டு,1, 100,2017_12_04
Gourd/பீர்க்கங்காய்,1, 12,2017_12_04
Small Tuber/சிறு கிழங்கு,1, 35,2017_12_04
Colocasia/சேப்பங்கிழங்கு,1, 30,2017_12_04
Soya beans/சோயா பீன்ஸ்,1, 80 to 120,2017_12_04
Butter Soya/பட்டர் சோயா,1, –,2017_12_04
Senai Kilangu/சேனை கிழங்கு,1, 28,2017_12_04
Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017_12_04
Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017_12_04
Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017_12_04
