Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 25 to 30,2017_11_29
Tomato/தக்காளி 1st Quality,1, 20 to 25,2017_11_29
Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017_11_29
Small Onion/சிறிய வெங்காயம்,1, 120 to 130,2017_11_29
Bellary/பெல்லாரி,1, 45 to 50,2017_11_29
Beans/பீன்ஸ் 1st Quality,1, 20 to 28,2017_11_29
Beans/பீன்ஸ் 2nd Quality,1, 15 to 23,2017_11_29
Carrot/கேரட் 1st Quality,1, 30 to 60,2017_11_29
Carrot/கேரட் 2nd Quality,1, 25 to 55,2017_11_29
Lady Finger/வெண்டைக்காய்,1, 6,2017_11_29
Tree Drumstick/மரம் முருங்கை,1, 80,2017_11_29
Plant Drumstick/செடி முருங்கை,1, 90,2017_11_29
Beans/அவரை ஒட்டு,1, 10 to 20,2017_11_29
Green Pulses/பச்சை பயிறு,1, 7,2017_11_29
White Pulses/வெள்ளை பயிறு,1, 10,2017_11_29
Zucchini/சுரைக்காய்,1, 1.50,2017_11_29
Beetroot/பீட்ரூட்,1, 13 to 14,2017_11_29
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3 to 5,2017_11_29
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2017_11_29
Kalla Manga/கள்ள மாங்காய்,1, 75,2017_11_29
OOrutu Manga/உருட்டு மாங்காய்,1, 85,2017_11_29
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2017_11_29
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_11_29
Coconut/தேங்காய் 1st Quality,1, 42 to44,2017_11_29
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_11_29
Green Chilli/பச்சை மிளகாய்,1, 15 to 20,2017_11_29
Cauliflower/காலிஃபிளவர் 1st Quality,1, 20,2017_11_29
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 15,2017_11_29
Green Brinjal/கத்தரிக்காய் பச்சை,1, 15,2017_11_29
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 15,2017_11_29
Banana Thar/வாழை தார்,1, 22 to 24,2017_11_29
Curry Leaves/கறிவேப்பிலை,1, 10,2017_11_29
Gourd/புடலங்காய் 1st Quality,1, 4,2017_11_29
Gourd/புடலங்காய் 2nd Quality,1, –,2017_11_29
Coriander/கொத்தமல்லி 1st Quality,1, 8 to 10,2017_11_29
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017_11_29
Radish/முள்ளங்கி 1st Quality,1, 20 to 30,2017_11_29
Radish/முள்ளங்கி 2nd Quality,1, 15 to 25,2017_11_29
Ginger/இஞ்சி,1, 28 to 30,2017_11_29
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2017_11_29
Cabbage/முட்டை கோஸ்,1, 30 to 35,2017_11_29
Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017_11_29
Bitter Gourd/பாகற்காய்,1, 10 to 15,2017_11_29
Nookal/நூக்கல்,1, 20,2017_11_29
Chaw Chaw/சவ்சவ்,1, 4 to 8,2017_11_29
Kovakkai/கோவக்காய்,1, 11,2017_11_29
Cluster Beans/கொத்தவரங்காய்,1, 8 to 9,2017_11_29
Gooseberry/நெல்லிக்காய்,1, 20 to 25,2017_11_29
Narthangai/நார்த்தங்காய்,1, 18 to 20,2017_11_29
Cucumber/வெள்ளரிக்காய்,1, 20,2017_11_29
Garlic/வெள்ளை பூண்டு,1, 100 to 150,2017_11_29
Gourd/பீர்க்கங்காய்,1, 5 to 8,2017_11_29
Small Tuber/சிறு கிழங்கு,1, 30,2017_11_29
Colocasia/சேப்பங்கிழங்கு,1, 35,2017_11_29
Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2017_11_29
Butter Soya/பட்டர் சோயா,1, –,2017_11_29
Senai Kilangu/சேனை கிழங்கு,1, 35,2017_11_29
Karunai Kilangu/கருணைக்கிழங்கு,1, 30,2017_11_29
Drumstick beans/முருங்கை பீன்ஸ்,1, 20,2017_11_29
Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017_11_29
