Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 35,2017_12_05
Tomato/தக்காளி 1st Quality,1, 20 to 25,2017_12_05
Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017_12_05
Small Onion/சிறிய வெங்காயம்,1, 110 to 120,2017_12_05
Bellary/பெல்லாரி,1, 35 to 40,2017_12_05
Beans/பீன்ஸ் 1st Quality,1, 15 to 30,2017_12_05
Beans/பீன்ஸ் 2nd Quality,1, 10 to 25,2017_12_05
Carrot/கேரட் 1st Quality,1, 40 to 50,2017_12_05
Carrot/கேரட் 2nd Quality,1, 35 to 45,2017_12_05
Lady Finger/வெண்டைக்காய்,1, 13,2017_12_05
Tree Drumstick/மரம் முருங்கை,1, 90,2017_12_05
Plant Drumstick/செடி முருங்கை,1, 110,2017_12_05
Beans/அவரை ஒட்டு,1, 10 to 25,2017_12_05
Green Pulses/பச்சை பயிறு,1, 7,2017_12_05
White Pulses/வெள்ளை பயிறு,1, 10,2017_12_05
Zucchini/சுரைக்காய்,1, 2,2017_12_05
Beetroot/பீட்ரூட்,1, 11,2017_12_05
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 5,2017_12_05
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 5,2017_12_05
Kalla Manga/கள்ள மாங்காய்,1, 80,2017_12_05
OOrutu Manga/உருட்டு மாங்காய்,1, 75 to 85,2017_12_05
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 15,2017_12_05
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_12_05
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017_12_05
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_12_05
Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2017_12_05
Cauliflower/காலிஃபிளவர் 1st Quality,1, 20 to 25,2017_12_05
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 15 to 20,2017_12_05
Green Brinjal/கத்தரிக்காய் பச்சை,1, 24 to 25,2017_12_05
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 30,2017_12_05
Banana Thar/வாழை தார்,1, 24 to 25,2017_12_05
Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2017_12_05
Gourd/புடலங்காய் 1st Quality,1, 3,2017_12_05
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_05
Coriander/கொத்தமல்லி 1st Quality,1, 7 top 10,2017_12_05
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017_12_05
Radish/முள்ளங்கி 1st Quality,1, 20,2017_12_05
Radish/முள்ளங்கி 2nd Quality,1, 15,2017_12_05
Ginger/இஞ்சி,1, 25 to 30,2017_12_05
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2017_12_05
Cabbage/முட்டை கோஸ்,1, 25 to 30,2017_12_05
Green Peas/பச்சை பட்டாணி,1, 120,2017_12_05
Bitter Gourd/பாகற்காய்,1, 7 to 8,2017_12_05
Nookal/நூக்கல்,1, 20,2017_12_05
Chaw Chaw/சவ்சவ்,1, 4 to 5,2017_12_05
Kovakkai/கோவக்காய்,1, 10,2017_12_05
Cluster Beans/கொத்தவரங்காய்,1, 9 to 10,2017_12_05
Gooseberry/நெல்லிக்காய்,1, 20 to 25,2017_12_05
Narthangai/நார்த்தங்காய்,1, 20,2017_12_05
Cucumber/வெள்ளரிக்காய்,1, 12,2017_12_05
Garlic/வெள்ளை பூண்டு,1, 130 to 140,2017_12_05
Gourd/பீர்க்கங்காய்,1, 12,2017_12_05
Small Tuber/சிறு கிழங்கு,1, 35,2017_12_05
Colocasia/சேப்பங்கிழங்கு,1, 30,2017_12_05
Soya beans/சோயா பீன்ஸ்,1, 100,2017_12_05
Butter Soya/பட்டர் சோயா,1, –,2017_12_05
Senai Kilangu/சேனை கிழங்கு,1, 28,2017_12_05
Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2017_12_05
Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017_12_05
Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017_12_05
