Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 25 to 35,2017_12_09
Tomato/தக்காளி 1st Quality,1, 15 to 20,2017_12_09
Tomato/தக்காளி 2nd Quality,1, 10 to 15,2017_12_09
Small Onion/சிறிய வெங்காயம்,1, 140 to 150,2017_12_09
Bellary/பெல்லாரி,1, 35 to 45,2017_12_09
Beans/பீன்ஸ் 1st Quality,1, 45 to 60,2017_12_09
Beans/பீன்ஸ் 2nd Quality,1, 40 to 55,2017_12_09
Carrot/கேரட் 1st Quality,1, 40 to 60,2017_12_09
Carrot/கேரட் 2nd Quality,1, 35 to 55,2017_12_09
Lady Finger/வெண்டைக்காய்,1, 17,2017_12_09
Tree Drumstick/மரம் முருங்கை,1, 110,2017_12_09
Plant Drumstick/செடி முருங்கை,1, 90,2017_12_09
Beans/அவரை ஒட்டு,1, 18 to 35,2017_12_09
Green Pulses/பச்சை பயிறு,1, 13,2017_12_09
White Pulses/வெள்ளை பயிறு,1, 15,2017_12_09
Zucchini/சுரைக்காய்,1, 5,2017_12_09
Beetroot/பீட்ரூட்,1, 12,2017_12_09
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017_12_09
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 2 to 4,2017_12_09
Kalla Manga/கள்ள மாங்காய்,1, 75,2017_12_09
OOrutu Manga/உருட்டு மாங்காய்,1, 80,2017_12_09
Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 18,2017_12_09
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_12_09
Coconut/தேங்காய் 1st Quality,1, 40 to 43,2017_12_09
Coconut/தேங்காய் 2nd Quality,1, 35,2017_12_09
Green Chilli/பச்சை மிளகாய்,1, 6 to 12,2017_12_09
Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2017_12_09
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10-,2017_12_09
Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 25,2017_12_09
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10 to 15,2017_12_09
Banana Thar/வாழை தார்,1, 24 to 25,2017_12_09
Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2017_12_09
Gourd/புடலங்காய் 1st Quality,1, 7,2017_12_09
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_09
Coriander/கொத்தமல்லி 1st Quality,1, 10 to 15,2017_12_09
Coriander/கொத்தமல்லி 2nd Quality,1, 10,2017_12_09
Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017_12_09
Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017_12_09
Ginger/இஞ்சி,1, 20 to 25,2017_12_09
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2017_12_09
Cabbage/முட்டை கோஸ்,1, 25 to 30,2017_12_09
Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017_12_09
Bitter Gourd/பாகற்காய்,1, 8 to 12,2017_12_09
Nookal/நூக்கல்,1, 15 to 20,2017_12_09
Chaw Chaw/சவ்சவ்,1, 5 to 8,2017_12_09
Kovakkai/கோவக்காய்,1, 25 to 30,2017_12_09
Cluster Beans/கொத்தவரங்காய்,1, 20 to 22,2017_12_09
Gooseberry/நெல்லிக்காய்,1, 20 to 25,2017_12_09
Narthangai/நார்த்தங்காய்,1, 15 to 20,2017_12_09
Cucumber/வெள்ளரிக்காய்,1, 16 to 20,2017_12_09
Garlic/வெள்ளை பூண்டு,1, 100 to 130,2017_12_09
Gourd/பீர்க்கங்காய்,1, 18 to 20,2017_12_09
Small Tuber/சிறு கிழங்கு,1, 30 to 35,2017_12_09
Colocasia/சேப்பங்கிழங்கு,1, 20 to 25,2017_12_09
Soya beans/சோயா பீன்ஸ்,1, 80 to 120,2017_12_09
Butter Soya/பட்டர் சோயா,1, 80 to 120,2017_12_09
Senai Kilangu/சேனை கிழங்கு,1, 25 to 30,2017_12_09
Karunai Kilangu/கருணைக்கிழங்கு,1, 30 to 35,2017_12_09
Drumstick beans/முருங்கை பீன்ஸ்,1, 40,2017_12_09
Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017_12_09
