Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 30,2017_12_30
Tomato/தக்காளி 1st Quality,1, 4 to 5,2017_12_30
Tomato/தக்காளி 2nd Quality,1, –,2017_12_30
Small Onion/சிறிய வெங்காயம்,1, 50 to 120,2017_12_30
Bellary/பெல்லாரி,1, 35 to 40,2017_12_30
Beans/பீன்ஸ் 1st Quality,1, 20 to 25,2017_12_30
Beans/பீன்ஸ் 2nd Quality,1, 15 to 20,2017_12_30
Carrot/கேரட் 1st Quality,1, 40 to 60,2017_12_30
Carrot/கேரட் 2nd Quality,1, 35 to 55,2017_12_30
Lady Finger/வெண்டைக்காய்,1, 10,2017_12_30
Tree Drumstick/மரம் முருங்கை,1, –,2017_12_30
Drumstick/முருங்கை,1, 60 to 70,2017_12_30
Beans/அவரை ஒட்டு,1, 12 to 26,2017_12_30
Green Pulses/பச்சை பயிறு,1, 12,2017_12_30
White Pulses/வெள்ளை பயிறு,1, 6,2017_12_30
Zucchini/சுரைக்காய்,1, 2,2017_12_30
Beetroot/பீட்ரூட்,1, 9,2017_12_30
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017_12_30
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 5,2017_12_30
Kalla Manga/கள்ள மாங்காய்,1, 80 to 110,2017_12_30
OOrutu Manga/உருட்டு மாங்காய்,1, 70,2017_12_30
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 20,2017_12_30
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2017_12_30
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017_12_30
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_12_30
Green Chilli/பச்சை மிளகாய்,1, 6 to 12,2017_12_30
Cauliflower/காலிஃபிளவர் 1st Quality,1, 12 to 15,2017_12_30
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2017_12_30
Green Brinjal/கத்தரிக்காய் பச்சை,1, 10 to 15,2017_12_30
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10,2017_12_30
Banana Thar/வாழை தார்,1, 20 to 22,2017_12_30
Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2017_12_30
Gourd/புடலங்காய் 1st Quality,1, 3,2017_12_30
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_30
Coriander/கொத்தமல்லி 1st Quality,1, 5 to 10,2017_12_30
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017_12_30
Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2017_12_30
Radish/முள்ளங்கி 2nd Quality,1, –,2017_12_30
Ginger/இஞ்சி,1, 20 to 25,2017_12_30
Butter Beans/பட்டர் பீன்ஸ்,1, 80,2017_12_30
Cabbage/முட்டை கோஸ்,1, 15 to 20,2017_12_30
Green Peas/பச்சை பட்டாணி,1, 80,2017_12_30
Bitter Gourd/பாகற்காய்,1, 12,2017_12_30
Nookal/நூக்கல்,1, 10 to15,2017_12_30
Chaw Chaw/சவ்சவ்,1, 6 to 8,2017_12_30
Kovakkai/கோவக்காய்,1, 24,2017_12_30
Cluster Beans/கொத்தவரங்காய்,1, 10 to 16,2017_12_30
Gooseberry/நெல்லிக்காய்,1, 30 to 40,2017_12_30
Narthangai/நார்த்தங்காய்,1, 30,2017_12_30
Cucumber/வெள்ளரிக்காய்,1, 10,2017_12_30
Garlic/வெள்ளை பூண்டு,1, 100 to 120,2017_12_30
Gourd/பீர்க்கங்காய்,1, 15 to 20,2017_12_30
Small Tuber/சிறு கிழங்கு,1, 40,2017_12_30
Colocasia/சேப்பங்கிழங்கு,1, 35,2017_12_30
Soya beans/சோயா பீன்ஸ்,1, 80,2017_12_30
Butter Soya/பட்டர் சோயா,1, 80,2017_12_30
Senai Kilangu/சேனை கிழங்கு,1, 30 to 35,2017_12_30
Karunai Kilangu/கருணைக்கிழங்கு,1, 30 to35,2017_12_30
Drumstick beans/முருங்கை பீன்ஸ்,1, 20,2017_12_30
Mangai Inji/மாங்காய் இஞ்சி,1, 40,2017_12_30
