Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 30 to 35,2017_12_06
Tomato/தக்காளி 1st Quality,1, 20 to 25,2017_12_06
Tomato/தக்காளி 2nd Quality,1, 15 to 20,2017_12_06
Small Onion/சிறிய வெங்காயம்,1, 70 to 130,2017_12_06
Bellary/பெல்லாரி,1, 30 to 42,2017_12_06
Beans/பீன்ஸ் 1st Quality,1, 35 to 40,2017_12_06
Beans/பீன்ஸ் 2nd Quality,1, 30 to 35,2017_12_06
Carrot/கேரட் 1st Quality,1, 30 to 50,2017_12_06
Carrot/கேரட் 2nd Quality,1, 25 to 45,2017_12_06
Lady Finger/வெண்டைக்காய்,1, 16,2017_12_06
Tree Drumstick/மரம் முருங்கை,1, 100,2017_12_06
Plant Drumstick/செடி முருங்கை,1, 120,2017_12_06
Beans/அவரை ஒட்டு,1, 12 to 25,2017_12_06
Green Pulses/பச்சை பயிறு,1, 9,2017_12_06
White Pulses/வெள்ளை பயிறு,1, 10,2017_12_06
Zucchini/சுரைக்காய்,1, 3,2017_12_06
Beetroot/பீட்ரூட்,1, 12,2017_12_06
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017_12_06
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 5,2017_12_06
Kalla Manga/கள்ள மாங்காய்,1, 85,2017_12_06
OOrutu Manga/உருட்டு மாங்காய்,1, 75,2017_12_06
Potato/உருளைக்கிழங்கு 1st Quality,1, 15 to 20,2017_12_06
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10 to 15,2017_12_06
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2017_12_06
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2017_12_06
Green Chilli/பச்சை மிளகாய்,1, 6 to 15,2017_12_06
Cauliflower/காலிஃபிளவர் 1st Quality,1, 15 to 20,2017_12_06
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10 to 15,2017_12_06
Green Brinjal/கத்தரிக்காய் பச்சை,1, 12,2017_12_06
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 15,2017_12_06
Banana Thar/வாழை தார்,1, 22 to 24,2017_12_06
Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2017_12_06
Gourd/புடலங்காய் 1st Quality,1, 5,2017_12_06
Gourd/புடலங்காய் 2nd Quality,1, –,2017_12_06
Coriander/கொத்தமல்லி 1st Quality,1, 7 to 10,2017_12_06
Coriander/கொத்தமல்லி 2nd Quality,1, –,2017_12_06
Radish/முள்ளங்கி 1st Quality,1, 20 to 25,2017_12_06
Radish/முள்ளங்கி 2nd Quality,1, 15 to 20,2017_12_06
Ginger/இஞ்சி,1, 25 to 30,2017_12_06
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2017_12_06
Cabbage/முட்டை கோஸ்,1, 25 to 30,2017_12_06
Green Peas/பச்சை பட்டாணி,1, 80 to 100,2017_12_06
Bitter Gourd/பாகற்காய்,1, 8,2017_12_06
Nookal/நூக்கல்,1, 15 to 20,2017_12_06
Chaw Chaw/சவ்சவ்,1, 8,2017_12_06
Kovakkai/கோவக்காய்,1, 20,2017_12_06
Cluster Beans/கொத்தவரங்காய்,1, 8 to 9,2017_12_06
Gooseberry/நெல்லிக்காய்,1, 20 to 25,2017_12_06
Narthangai/நார்த்தங்காய்,1, 15 to 20,2017_12_06
Cucumber/வெள்ளரிக்காய்,1, 16 to 20,2017_12_06
Garlic/வெள்ளை பூண்டு,1, 100 to 130,2017_12_06
Gourd/பீர்க்கங்காய்,1, 13,2017_12_06
Small Tuber/சிறு கிழங்கு,1, 30,2017_12_06
Colocasia/சேப்பங்கிழங்கு,1, 28,2017_12_06
Soya beans/சோயா பீன்ஸ்,1, 80 to 100,2017_12_06
Butter Soya/பட்டர் சோயா,1, –,2017_12_06
Senai Kilangu/சேனை கிழங்கு,1, 30,2017_12_06
Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2017_12_06
Drumstick beans/முருங்கை பீன்ஸ்,1, 25,2017_12_06
Mangai Inji/மாங்காய் இஞ்சி,1, 25 to 30,2017_12_06
