Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 28
Tomotto ottu, 1, 14
LadyFinger, 1, 20
SnakeGuard, 1, 22
BitterGourd, 1, 30
Bottlegourd, 1, 14
Pumpkin, 1, 16
Bean, 1, 50
ClusterBeans, 1, 26
Red Chillies, 1, 70
Onion, 1, 26
Pallari, 1, 20
Ginger, 1, 130
Potato, 1, 30
Radish, 1, 18
Mango, 1, 22
Cabbage, 1, 16
Carrot, 1, 28
Beetroot, 1, 24
Soybeans, 1, 100
Drumstickbeans, 1, 44
butterbeans, 1, –
Banana nut, 1 piece, 03
Banana stem, 1, 08
BananaFlower, 1, 08
Curry leaves, 1, 30
Coriander leaves, 1, 35
Mint, 1, 30
GreensLeaves, 1, 8
Garlic, 1, 100-120
ButtonMushrooms, 1, 180
Papaya, 1, 26
SavSav, 1, 30
