,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 30,2014-5-7
1,1,Tomotto ottu, 1, 12,2014-5-7
2,2,LadyFinger, 1, 24,2014-5-7
3,3,SnakeGuard, 1, 30,2014-5-7
4,4,BitterGourd, 1, 34,2014-5-7
5,5,Bottlegourd, 1, 12,2014-5-7
6,6,Pumpkin, 1, 16,2014-5-7
7,7,Bean, 1, 50,2014-5-7
8,8,ClusterBeans, 1, 18,2014-5-7
9,9,Red Chillies, 1, 60,2014-5-7
10,10,Onion, 1, 24,2014-5-7
11,11,Pallari, 1, 20,2014-5-7
12,12,Ginger, 1, 130,2014-5-7
13,13,Potato, 1, 28,2014-5-7
14,14,Radish, 1, 16,2014-5-7
15,15,Mango, 1, 16,2014-5-7
16,16,Cabbage, 1, 16,2014-5-7
17,17,Carrot, 1, 30,2014-5-7
18,18,Beetroot, 1, 26,2014-5-7
19,19,Soybeans, 1, 110,2014-5-7
20,20,Drumstickbeans, 1, 36,2014-5-7
21,21,butterbeans, 1, –,2014-5-7
22,22,Banana nut, 1 piece, 03,2014-5-7
23,23,Banana stem, 1, 08,2014-5-7
24,24,BananaFlower, 1, 08,2014-5-7
25,25,Curry leaves, 1, 30,2014-5-7
26,26,Coriander leaves, 1, 40,2014-5-7
27,27,Mint, 1, 30,2014-5-7
28,28,GreensLeaves, 1, 10,2014-5-7
29,29,Garlic, 1, 100-120,2014-5-7
30,30,ButtonMushrooms, 1, 186,2014-5-7
31,31,Papaya, 1, 26,2014-5-7
32,32,SavSav, 1, 34,2014-5-7
