,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 34,2014-8-24
1,1,Tomotto ottu, 1, 32,2014-8-24
2,2,Ladys Finger, 1, 18,2014-8-24
3,3,Snake Guard, 1, 20,2014-8-24
4,4,Bitter Gourd, 1, 34,2014-8-24
5,5,Bottle gourd, 1, 12,2014-8-24
6,6,Pumpkin, 1, 18,2014-8-24
7,7,Bean, 1, 20,2014-8-24
8,8,Cluster Beans, 1, 18,2014-8-24
9,9,Red Chilies, 1, 30,2014-8-24
10,10,Onion, 1, 30,2014-8-24
11,11,Pallari, 1, 30,2014-8-24
12,12,Ginger, 1, 130,2014-8-24
13,13,Potato, 1, 38,2014-8-24
14,14,Radish, 1, 12,2014-8-24
15,15,Mango, 1, –,2014-8-24
16,16,Cabbage, 1, 20,2014-8-24
17,17,Carrot, 1, 30,2014-8-24
18,18,Beetroot, 1, 36,2014-8-24
19,19,Soybeans, 1, 60,2014-8-24
20,20,Drumstick beans, 1, 50,2014-8-24
21,21,butter beans, 1, –,2014-8-24
22,22,Banana nut, 1 piece, 3,2014-8-24
23,23,Banana stem, 1, 6,2014-8-24
24,24,Banana Flower, 1, 8,2014-8-24
25,25,Curry leaves, 1, 20,2014-8-24
26,26,Coriander leaves, 1, 5,2014-8-24
27,27,Mint, 1, 10,2014-8-24
28,28,Greens Leaves, 1, 10,2014-8-24
29,29,Garlic, 1, 100-130,2014-8-24
30,30,Button Mushrooms, 1, 196,2014-8-24
31,31,Papaya, 1, 20,2014-8-24
32,32,SavSav, 1, 24,2014-8-24
