Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 24
Tomotto ottu, 1, 16
LadyFinger, 1, 24
SnakeGuard, 1, 30
BitterGourd, 1, 34
Bottlegourd, 1, 10
Pumpkin, 1, 18
Bean, 1, 40
ClusterBeans, 1, 24
Red Chillies, 1, 60
Onion, 1, 24
Pallari, 1, 20
Ginger, 1, 120
Potato, 1, 30
Radish, 1, 14
Mango, 1, 24
Cabbage, 1, 12
Carrot, 1, 28
Beetroot, 1, 24
Soybeans, 1, 90
Drumstickbeans, 1, 50
butterbeans, 1, –
Banana nut, 1 piece, 03
Banana stem, 1, 08
BananaFlower, 1, 08
Curry leaves, 1, 35
Coriander leaves, 1, 30
Mint, 1, 30
GreensLeaves, 1, 10
Garlic, 1, 100-120
ButtonMushrooms, 1, 188
Papaya, 1, 26
SavSav, 1, 30
