,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 34,2014-9-17
1,1,Tomotto ottu, 1, 16,2014-9-17
2,2,Ladys Finger, 1, 10,2014-9-17
3,3,Snake Guard, 1, 16,2014-9-17
4,4,Bitter Gourd, 1, 32,2014-9-17
5,5,Bottle gourd, 1, 8,2014-9-17
6,6,Pumpkin, 1, 16,2014-9-17
7,7,Bean, 1, 28,2014-9-17
8,8,Cluster Beans, 1, 16,2014-9-17
9,9,Red Chilies, 1, 30,2014-9-17
10,10,Onion, 1, 30,2014-9-17
11,11,Pallari, 1, 26,2014-9-17
12,12,Ginger, 1, 120,2014-9-17
13,13,Potato, 1, 38,2014-9-17
14,14,Radish, 1, 14,2014-9-17
15,15,Mango, 1, –,2014-9-17
16,16,Cabbage, 1, 16,2014-9-17
17,17,Carrot, 1, 44,2014-9-17
18,18,Beetroot, 1, 20,2014-9-17
19,19,Soybeans, 1, 90,2014-9-17
20,20,Drumstick beans, 1, 32,2014-9-17
21,21,butter beans, 1, –,2014-9-17
22,22,Banana nut, 1 piece, 3,2014-9-17
23,23,Banana stem, 1, 7,2014-9-17
24,24,Banana Flower, 1, 8,2014-9-17
25,25,Curry leaves, 1, 10,2014-9-17
26,26,Coriander leaves, 1, 30,2014-9-17
27,27,Mint, 1, 35,2014-9-17
28,28,Greens Leaves, 1, 8,2014-9-17
29,29,Garlic, 1, 120-140,2014-9-17
30,30,Button Mushrooms, 1, 196,2014-9-17
31,31,Papaya, 1, 24,2014-9-17
32,32,SavSav, 1, 26,2014-9-17
