,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 64,2014-11-14
1,1,Tomotto ottu, 1, 15,2014-11-14
2,2,Ladys Finger, 1, 15,2014-11-14
3,3,Snake Guard, 1, 24,2014-11-14
4,4,Bitter Gourd, 1, 34,2014-11-14
5,5,Bottle gourd, 1, 12,2014-11-14
6,6,Pumpkin, 1, 24,2014-11-14
7,7,Bean, 1, 60,2014-11-14
8,8,Cluster Beans, 1, 24,2014-11-14
9,9,Red Chilies, 1, 30,2014-11-14
10,10,Onion, 1, 30,2014-11-14
11,11,Pallari, 1, 28,2014-11-14
12,12,Ginger, 1, –,2014-11-14
13,13,Potato, 1, 40,2014-11-14
14,14,Radish, 1, 26,2014-11-14
15,15,Mango, 1, –,2014-11-14
16,16,Cabbage, 1, 24,2014-11-14
17,17,Carrot, 1, 44,2014-11-14
18,18,Beetroot, 1, 40,2014-11-14
19,19,Soybeans, 1, 70,2014-11-14
20,20,Drumstick beans, 1, 58,2014-11-14
21,21,butter beans, 1, –,2014-11-14
22,22,Banana nut, 1 piece, 5,2014-11-14
23,23,Banana stem, 1, 10,2014-11-14
24,24,Banana Flower, 1, 10,2014-11-14
25,25,Curry leaves, 1, 20,2014-11-14
26,26,Coriander leaves, 1, 80,2014-11-14
27,27,Mint, 1, 60,2014-11-14
28,28,Greens Leaves, 1, 12,2014-11-14
29,29,Garlic, 1, 120-170,2014-11-14
30,30,Button Mushrooms, 1, 190,2014-11-14
31,31,Papaya, 1, 24,2014-11-14
32,32,SavSav, 1, 36,2014-11-14
