,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 34,2014-8-14
1,1,Tomotto ottu, 1, 38,2014-8-14
2,2,Ladys Finger, 1, 28,2014-8-14
3,3,Snake Guard, 1, 20,2014-8-14
4,4,Bitter Gourd, 1, 40,2014-8-14
5,5,Bottle gourd, 1, 14,2014-8-14
6,6,Pumpkin, 1, 20,2014-8-14
7,7,Bean, 1, 36,2014-8-14
8,8,Cluster Beans, 1, 20,2014-8-14
9,9,Red Chilies, 1, 36,2014-8-14
10,10,Onion, 1, 32,2014-8-14
11,11,Pallari, 1, 30,2014-8-14
12,12,Ginger, 1, 140,2014-8-14
13,13,Potato, 1, 40,2014-8-14
14,14,Radish, 1, 14,2014-8-14
15,15,Mango, 1, –,2014-8-14
16,16,Cabbage, 1, 20,2014-8-14
17,17,Carrot, 1, 46,2014-8-14
18,18,Beetroot, 1, 46,2014-8-14
19,19,Soybeans, 1, 70,2014-8-14
20,20,Drumstick beans, 1, 60,2014-8-14
21,21,butter beans, 1, –,2014-8-14
22,22,Banana nut, 1 piece, 4,2014-8-14
23,23,Banana stem, 1, 8,2014-8-14
24,24,Banana Flower, 1, 6,2014-8-14
25,25,Curry leaves, 1, 20,2014-8-14
26,26,Coriander leaves, 1, 25,2014-8-14
27,27,Mint, 1, 20,2014-8-14
28,28,Greens Leaves, 1, 10,2014-8-14
29,29,Garlic, 1, 60-140,2014-8-14
30,30,Button Mushrooms, 1, 180,2014-8-14
31,31,Papaya, 1, 24,2014-8-14
32,32,SavSav, 1, 36,2014-8-14
