,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 40,2014-1-11
1,Tomotto ottu, 1, 10,2014-1-11
2,Ladys Finger, 1, 30,2014-1-11
3,Snake Guard, 1, 16,2014-1-11
4,Bitter Gourd, 1, 26,2014-1-11
5,Bottle gourd, 1, 10,2014-1-11
6,Pumpkin, 1, 16,2014-1-11
7,Bean, 1, 60,2014-1-11
8,Cluster Beans, 1, 14,2014-1-11
9,Red Chilies, 1, 36,2014-1-11
10,Onion, 1, 34,2014-1-11
11,Pallari, 1, 28,2014-1-11
12,Ginger, 1, –,2014-1-11
13,Potato, 1, 44,2014-1-11
14,Radish, 1, 24,2014-1-11
15,Mango, 1, –,2014-1-11
16,Cabbage, 1, 20,2014-1-11
17,Carrot, 1, 46,2014-1-11
18,Beetroot, 1, 26,2014-1-11
19,Soybeans, 1, 80,2014-1-11
20,Drumstick beans, 1, 46,2014-1-11
21,butter beans, 1, –,2014-1-11
22,Banana nut, 1 piece, 3,2014-1-11
23,Banana stem, 1, 8,2014-1-11
24,Banana Flower, 1, 6,2014-1-11
25,Curry leaves, 1, 25,2014-1-11
26,Coriander leaves, 1, 40,2014-1-11
27,Mint, 1, 30,2014-1-11
28,Greens Leaves, 1, 10,2014-1-11
29,Garlic, 1, 100-170,2014-1-11
30,Button Mushrooms, 1, 188,2014-1-11
31,Papaya, 1, 15,2014-1-11
32,SavSav, 1, 26,2014-1-11
