,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 42,2014-12-5
1,Tomotto ottu, 1, 24,2014-12-5
2,Ladys Finger, 1, 36,2014-12-5
3,Snake Guard, 1, 26,2014-12-5
4,Bitter Gourd, 1, 32,2014-12-5
5,Bottle gourd, 1, 12,2014-12-5
6,Pumpkin, 1, 20,2014-12-5
7,Bean, 1, 48,2014-12-5
8,Cluster Beans, 1, 24,2014-12-5
9,Red Chilies, 1, 40,2014-12-5
10,Onion, 1, 32,2014-12-5
11,Pallari, 1, 28,2014-12-5
12,Ginger, 1, –,2014-12-5
13,Potato, 1, 40,2014-12-5
14,Radish, 1, 36,2014-12-5
15,Mango, 1, –,2014-12-5
16,Cabbage, 1, 24,2014-12-5
17,Carrot, 1, 36,2014-12-5
18,Beetroot, 1, 34,2014-12-5
19,Soybeans, 1, 70,2014-12-5
20,Drumstick beans, 1, 48,2014-12-5
21,butter beans, 1, –,2014-12-5
22,Banana nut, 1 piece, 5,2014-12-5
23,Banana stem, 1, 10,2014-12-5
24,Banana Flower, 1, 12,2014-12-5
25,Curry leaves, 1, 30,2014-12-5
26,Coriander leaves, 1, 30,2014-12-5
27,Mint, 1, 30,2014-12-5
28,Greens Leaves, 1, 10,2014-12-5
29,Garlic, 1, 80-180,2014-12-5
30,Button Mushrooms, 1, 180,2014-12-5
31,Papaya, 1, 20,2014-12-5
32,SavSav, 1, 26,2014-12-5
