,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 20,2014-5-28
1,1,Tomotto ottu, 1, 14,2014-5-28
2,2,LadyFinger, 1, 20,2014-5-28
3,3,SnakeGuard, 1, 24,2014-5-28
4,4,BitterGourd, 1, 36,2014-5-28
5,5,Bottlegourd, 1, 12,2014-5-28
6,6,Pumpkin, 1, 16,2014-5-28
7,7,Bean, 1, 64,2014-5-28
8,8,ClusterBeans, 1, 20,2014-5-28
9,9,Red Chillies, 1, 54,2014-5-28
10,10,Onion, 1, 20,2014-5-28
11,11,Pallari, 1, 22,2014-5-28
12,12,Ginger, 1, 120,2014-5-28
13,13,Potato, 1, 30,2014-5-28
14,14,Radish, 1, 18,2014-5-28
15,15,Mango, 1, 16,2014-5-28
16,16,Cabbage, 1, 16,2014-5-28
17,17,Carrot, 1, 30,2014-5-28
18,18,Beetroot, 1, 24,2014-5-28
19,19,Soybeans, 1, 110,2014-5-28
20,20,Drumstickbeans, 1, 54,2014-5-28
21,21,butterbeans, 1, –,2014-5-28
22,22,Banana nut, 1 piece, 04,2014-5-28
23,23,Banana stem, 1, 8,2014-5-28
24,24,BananaFlower, 1, 8,2014-5-28
25,25,Curry leaves, 1, 35,2014-5-28
26,26,Coriander leaves, 1, 30,2014-5-28
27,27,Mint, 1, 30,2014-5-28
28,28,GreensLeaves, 1, 10,2014-5-28
29,29,Garlic, 1, 100-120,2014-5-28
30,30,ButtonMushrooms, 1, 188,2014-5-28
31,31,Papaya, 1, 24,2014-5-28
32,32,SavSav, 1, 28,2014-5-28
