Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 50
Tomotto ottu, 1, 40
LadyFinger, 1, 34
SnakeGuard, 1, 28
BitterGourd, 1, 40
Bottlegourd, 1, 16
Pumpkin, 1, 20
Bean, 1, 50
ClusterBeans, 1, 20
Red Chillies, 1, 46
Onion, 1, 22
Pallari, 1, 30
Ginger, 1, 128
Potato, 1, 30
Radish, 1, 24
Mango, 1, 18
Cabbage, 1, 26
Carrot, 1, 50
Beetroot, 1, 44
Soybeans, 1, 100
Drumstickbeans, 1, 64
butterbeans, 1, –
Banana nut, 1 piece, 4
Banana stem, 1, 10
BananaFlower, 1, 8
Curry leaves, 1, 20
Coriander leaves, 1, 54
Mint, 1, 30
GreensLeaves, 1, 10
Garlic, 1, 70-140
ButtonMushrooms, 1, 180
Papaya, 1, 20
SavSav, 1, 40
