,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 36,2014-10-30
1,1,Tomotto ottu, 1, 16,2014-10-30
2,2,Ladys Finger, 1, 30,2014-10-30
3,3,Snake Guard, 1, 14,2014-10-30
4,4,Bitter Gourd, 1, 30,2014-10-30
5,5,Bottle gourd, 1, 10,2014-10-30
6,6,Pumpkin, 1, 16,2014-10-30
7,7,Bean, 1, 50,2014-10-30
8,8,Cluster Beans, 1, 16,2014-10-30
9,9,Red Chilies, 1, 40,2014-10-30
10,10,Onion, 1, 36,2014-10-30
11,11,Pallari, 1, 25,2014-10-30
12,12,Ginger, 1, –,2014-10-30
13,13,Potato, 1, 44,2014-10-30
14,14,Radish, 1, 24,2014-10-30
15,15,Mango, 1, –,2014-10-30
16,16,Cabbage, 1, 16,2014-10-30
17,17,Carrot, 1, 38,2014-10-30
18,18,Beetroot, 1, 28,2014-10-30
19,19,Soybeans, 1, 64,2014-10-30
20,20,Drumstick beans, 1, 46,2014-10-30
21,21,butter beans, 1, –,2014-10-30
22,22,Banana nut, 1 piece, 4,2014-10-30
23,23,Banana stem, 1, 8,2014-10-30
24,24,Banana Flower, 1, 6,2014-10-30
25,25,Curry leaves, 1, 20,2014-10-30
26,26,Coriander leaves, 1, 50,2014-10-30
27,27,Mint, 1, 40,2014-10-30
28,28,Greens Leaves, 1, 10,2014-10-30
29,29,Garlic, 1, 100-160,2014-10-30
30,30,Button Mushrooms, 1, 180,2014-10-30
31,31,Papaya, 1, 14,2014-10-30
32,32,SavSav, 1, 20,2014-10-30
