Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 36
Tomotto ottu, 1, 12
LadyFinger, 1, 24
SnakeGuard, 1, 30
BitterGourd, 1, 36
Bottlegourd, 1, 14
Pumpkin, 1, 16
Bean, 1, 48
ClusterBeans, 1, 20
Red Chillies, 1, 70
Onion, 1, 26
Pallari, 1, 20
Ginger, 1, 130
Potato, 1, 30
Radish, 1, 16
Mango, 1, 20
Cabbage, 1, 16
Carrot, 1, 32
Beetroot, 1, 26
Soybeans, 1, 110
Drumstickbeans, 1, 40
butterbeans, 1, –
Banana nut, 1 piece, 04
Banana stem, 1, 10
BananaFlower, 1, 10
Curry leaves, 1, 25
Coriander leaves, 1, 40
Mint, 1, 30
GreensLeaves, 1, 10
Garlic, 1, 60-120
ButtonMushrooms, 1, 170
Papaya, 1, 24
SavSav, 1, 32
