Commodity, Weight in Kg, Price in Rs
Brinjal/கத்தரிக்காய், 1, 44
Tomotto ottu/தக்காளி ஒட்டு, 1, 12
LadyFinger/வெண்டைக்காய், 1, 18
SnakeGuard/புடலங்காய், 1, 16
BitterGourd/பாகற்காய், 1, 24
Bottlegourd/சுரைக்காய், 1, 12
Pumpkin/பூசணிக்காய், 1, 14
Bean/அவரை, 1, 26
ClusterBeans/கொத்தவரை, 1, 18
Red Chillies/குண்டு மிளகாய், 1, 26
Onion/வெங்காயம், 1, 30
Pallari/பல்லாரி, 1, 28
Ginger/இஞ்சி, 1, 110
Potato/உருளைக்கிழங்கு, 1, 28
Radish/முள்ளங்கி, 1, 18
Mango/மாங்காய், 1, 40
Cabbage/முட்டைக்கோஸ், 1, 14
Carrot/கேரட், 1, 26
Beetroot/பீட்ரூட், 1, 22
Soybeans/சோயாபீன்ஸ், 1, 75
Drumstickbeans/முருங்கைபீன்ஸ், 1, 38
butterbeans/பட்டர்பீன்ஸ், 1, 85
Banana nut/வாழைக்காய், 1 piece, 02
Banana stem/வாழைத்தண்டு, 1, 8
BananaFlower/வாழைப்பூ, 1, 6
Curry leaves/கருவேப்பிலை, 1, 15
Coriander leaves/மல்லி இலை, 1, 30
Mint/புதினா, 1, 28
GreensLeaves/கீரைக்கட்டு, 1, 8
Garlic/பூண்டு, 1, 70-140
ButtonMushrooms/ பட்டன்காளான், 1, 185
Papaya/ பப்பாளிப்பழம், 1, 20
SavSav/ சவ்சவ், 1, 14
