Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 36
Tomotto ottu, 1, 50
Ladys Finger, 1, 26
Snake Guard, 1, 24
Bitter Gourd, 1, 34
Bottle gourd, 1, 16
Pumpkin, 1, 20
Bean, 1, 36
Cluster Beans, 1, 24
Red Chilies, 1, 46
Onion, 1, 38
Pallari, 1, 36
Ginger, 1, 130
Potato, 1, 38
Radish, 1, 25
Mango, 1, 30
Cabbage, 1, 26
Carrot, 1, 48
Beetroot, 1, 50
Soybeans, 1, 70
Drumstick beans, 1, 60
butter beans, 1, –
Banana nut, 1 piece, 3
Banana stem, 1, 10
Banana Flower, 1, 8
Curry leaves, 1, 20
Coriander leaves, 1, 25
Mint, 1, 30
Greens Leaves, 1, 12
Garlic, 1, 100-130
Button Mushrooms, 1, 198
Papaya, 1, 26
SavSav, 1, 30
