,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 56,2014-6-25
1,1,Tomotto ottu, 1, 13,2014-6-25
2,2,LadyFinger, 1, 34,2014-6-25
3,3,SnakeGuard, 1, 24,2014-6-25
4,4,BitterGourd, 1, 44,2014-6-25
5,5,Bottlegourd, 1, 14,2014-6-25
6,6,Pumpkin, 1, 20,2014-6-25
7,7,Bean, 1, 70,2014-6-25
8,8,ClusterBeans, 1, 22,2014-6-25
9,9,Red Chillies, 1, 34,2014-6-25
10,10,Onion, 1, 22,2014-6-25
11,11,Pallari, 1, 24,2014-6-25
12,12,Ginger, 1, 130,2014-6-25
13,13,Potato, 1, 28,2014-6-25
14,14,Radish, 1, 24,2014-6-25
15,15,Mango, 1, 12,2014-6-25
16,16,Cabbage, 1, 24,2014-6-25
17,17,Carrot, 1, 40,2014-6-25
18,18,Beetroot, 1, 36,2014-6-25
19,19,Soybeans, 1, 110,2014-6-25
20,20,Drumstickbeans, 1, 58,2014-6-25
21,21,butterbeans, 1, –,2014-6-25
22,22,Banana nut, 1 piece, 4,2014-6-25
23,23,Banana stem, 1, 8,2014-6-25
24,24,BananaFlower, 1, 8,2014-6-25
25,25,Curry leaves, 1, 25,2014-6-25
26,26,Coriander leaves, 1, 50,2014-6-25
27,27,Mint, 1, 35,2014-6-25
28,28,GreensLeaves, 1, 10,2014-6-25
29,29,Garlic, 1, 100-120,2014-6-25
30,30,ButtonMushrooms, 1, 194,2014-6-25
31,31,Papaya, 1, 20,2014-6-25
32,32,SavSav, 1, 38,2014-6-25
