,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 20,2014-5-29
1,1,Tomotto ottu, 1, 14,2014-5-29
2,2,LadyFinger, 1, 18,2014-5-29
3,3,SnakeGuard, 1, 14,2014-5-29
4,4,BitterGourd, 1, 34,2014-5-29
5,5,Bottlegourd, 1, 12,2014-5-29
6,6,Pumpkin, 1, 16,2014-5-29
7,7,Bean, 1, 64,2014-5-29
8,8,ClusterBeans, 1, 16,2014-5-29
9,9,Red Chillies, 1, 36,2014-5-29
10,10,Onion, 1, 24,2014-5-29
11,11,Pallari, 1, 20,2014-5-29
12,12,Ginger, 1, 140,2014-5-29
13,13,Potato, 1, 30,2014-5-29
14,14,Radish, 1, 18,2014-5-29
15,15,Mango, 1, 16,2014-5-29
16,16,Cabbage, 1, 18,2014-5-29
17,17,Carrot, 1, 32,2014-5-29
18,18,Beetroot, 1, 26,2014-5-29
19,19,Soybeans, 1, 110,2014-5-29
20,20,Drumstickbeans, 1, 58,2014-5-29
21,21,butterbeans, 1, –,2014-5-29
22,22,Banana nut, 1 piece, 04,2014-5-29
23,23,Banana stem, 1, 10,2014-5-29
24,24,BananaFlower, 1, 6,2014-5-29
25,25,Curry leaves, 1, 40,2014-5-29
26,26,Coriander leaves, 1, 30,2014-5-29
27,27,Mint, 1, 25,2014-5-29
28,28,GreensLeaves, 1, 10,2014-5-29
29,29,Garlic, 1, 60-140,2014-5-29
30,30,ButtonMushrooms, 1, 180,2014-5-29
31,31,Papaya, 1, 20,2014-5-29
32,32,SavSav, 1, 30,2014-5-29
