,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 36,2014-7-23
1,1,Tomotto ottu, 1, 48,2014-7-23
2,2,Ladys Finger, 1, 26,2014-7-23
3,3,Snake Guard, 1, 28,2014-7-23
4,4,Bitter Gourd, 1, 44,2014-7-23
5,5,Bottle gourd, 1, 16,2014-7-23
6,6,Pumpkin, 1, 18,2014-7-23
7,7,Bean, 1, 60,2014-7-23
8,8,Cluster Beans, 1, 28,2014-7-23
9,9,Red Chilies, 1, 50,2014-7-23
10,10,Onion, 1, 30,2014-7-23
11,11,Pallari, 1, 36,2014-7-23
12,12,Ginger, 1, 140,2014-7-23
13,13,Potato, 1, 34,2014-7-23
14,14,Radish, 1, 30,2014-7-23
15,15,Mango, 1, 20,2014-7-23
16,16,Cabbage, 1, 26,2014-7-23
17,17,Carrot, 1, 50,2014-7-23
18,18,Beetroot, 1, 50,2014-7-23
19,19,Soybeans, 1, 90,2014-7-23
20,20,Drumstick beans, 1, 64,2014-7-23
21,21,butter beans, 1, –,2014-7-23
22,22,Banana nut, 1 piece, 4,2014-7-23
23,23,Banana stem, 1, 8,2014-7-23
24,24,Banana Flower, 1, 12,2014-7-23
25,25,Curry leaves, 1, 20,2014-7-23
26,26,Coriander leaves, 1, 25,2014-7-23
27,27,Mint, 1, 20,2014-7-23
28,28,Greens Leaves, 1, 12,2014-7-23
29,29,Garlic, 1, 100-130,2014-7-23
30,30,Button Mushrooms, 1, 200,2014-7-23
31,31,Papaya, 1, 24,2014-7-23
32,32,SavSav, 1, 30,2014-7-23
