,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,Brinjal, 1, 26,2014-05-02
1,1,1,1,Tomotto ottu, 1, 16,2014-05-02
2,2,2,2,LadyFinger, 1, 24,2014-05-02
3,3,3,3,SnakeGuard, 1, 22,2014-05-02
4,4,4,4,BitterGourd, 1, 30,2014-05-02
5,5,5,5,Bottlegourd, 1, 12,2014-05-02
6,6,6,6,Pumpkin, 1, 14,2014-05-02
7,7,7,7,Bean, 1, 44,2014-05-02
8,8,8,8,ClusterBeans, 1, 16,2014-05-02
9,9,9,9,Red Chillies, 1, 60,2014-05-02
10,10,10,10,Onion, 1, 24,2014-05-02
11,11,11,11,Pallari, 1, 20,2014-05-02
12,12,12,12,Ginger, 1, 130,2014-05-02
13,13,13,13,Potato, 1, 28,2014-05-02
14,14,14,14,Radish, 1, 16,2014-05-02
15,15,15,15,Mango, 1, 20,2014-05-02
16,16,16,16,Cabbage, 1, 14,2014-05-02
17,17,17,17,Carrot, 1, 24,2014-05-02
18,18,18,18,Beetroot, 1, 20,2014-05-02
19,19,19,19,Soybeans, 1, 100,2014-05-02
20,20,20,20,Drumstickbeans, 1, 44,2014-05-02
21,21,21,21,butterbeans, 1, –,2014-05-02
22,22,22,22,Banana nut, 1 piece, 04,2014-05-02
23,23,23,23,Banana stem, 1, 08,2014-05-02
24,24,24,24,BananaFlower, 1, 06,2014-05-02
25,25,25,25,Curry leaves, 1, 35,2014-05-02
26,26,26,26,Coriander leaves, 1, 40,2014-05-02
27,27,27,27,Mint, 1, 25,2014-05-02
28,28,28,28,GreensLeaves, 1, 10,2014-05-02
29,29,29,29,Garlic, 1, 60-120,2014-05-02
30,30,30,30,ButtonMushrooms, 1, 180,2014-05-02
31,31,31,31,Papaya, 1, 22,2014-05-02
32,32,32,32,SavSav, 1, 30,2014-05-02
