Commodity, Weight in Kg, Price in Rs
Brinjal, 1, 28
Tomotto ottu, 1, 16
LadyFinger, 1, 26
SnakeGuard, 1, 20
BitterGourd, 1, 36
Bottlegourd, 1, 14
Pumpkin, 1, 16
Bean, 1, 50
ClusterBeans, 1, 24
Red Chillies, 1, 70
Onion, 1, 24
Pallari, 1, 19
Ginger, 1, 140
Potato, 1, 30
Radish, 1, 14
Mango, 1, 24
Cabbage, 1, 14
Carrot, 1, 28
Beetroot, 1, 20
Soybeans, 1, 100
Drumstickbeans, 1, 50
butterbeans, 1, –
Banana nut, 1 piece, 02
Banana stem, 1, 05
BananaFlower, 1, 08
Curry leaves, 1, 35
Coriander leaves, 1, 30
Mint, 1, 30
GreensLeaves, 1, 10
Garlic, 1, 80-120
ButtonMushrooms, 1, 188
Papaya, 1, 20
SavSav, 1, 20
