,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Brinjal, 1, 34,2014-12-31
1,1,Tomotto ottu, 1, 16,2014-12-31
2,2,Ladys Finger, 1, 26,2014-12-31
3,3,Snake Guard, 1, 18,2014-12-31
4,4,Bitter Gourd, 1, 30,2014-12-31
5,5,Bottle gourd, 1, 8,2014-12-31
6,6,Pumpkin, 1, 16,2014-12-31
7,7,Bean, 1, 30,2014-12-31
8,8,Cluster Beans, 1, 24,2014-12-31
9,9,Red Chilies, 1, 30,2014-12-31
10,10,Onion, 1, 26,2014-12-31
11,11,Pallari, 1, 32,2014-12-31
12,12,Ginger, 1, –,2014-12-31
13,13,Potato, 1, 30,2014-12-31
14,14,Radish, 1, 18,2014-12-31
15,15,Mango, 1, –,2014-12-31
16,16,Cabbage, 1, 24,2014-12-31
17,17,Carrot, 1, 26,2014-12-31
18,18,Beetroot, 1, 34,2014-12-31
19,19,Soybeans, 1, 80,2014-12-31
20,20,Drumstick beans, 1, 44,2014-12-31
21,21,butter beans, 1, –,2014-12-31
22,22,Banana nut, 1 piece, 4,2014-12-31
23,23,Banana stem, 1, 6,2014-12-31
24,24,Banana Flower, 1, 12,2014-12-31
25,25,Curry leaves, 1, 15,2014-12-31
26,26,Coriander leaves, 1, 25,2014-12-31
27,27,Mint, 1, 20,2014-12-31
28,28,Greens Leaves, 1, 10,2014-12-31
29,29,Garlic, 1, 120-150,2014-12-31
30,30,Button Mushrooms, 1, 196,2014-12-31
31,31,Papaya, 1, 20,2014-12-31
32,32,SavSav, 1, 24,2014-12-31
33,33,Sapotta, 1, 20,2014-12-31
