,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal, 1, 40,2014-2-21
1,Tomotto ottu, 1, 18,2014-2-21
2,Ladys Finger, 1, 32,2014-2-21
3,Snake Guard, 1, 26,2014-2-21
4,Bitter Gourd, 1, 34,2014-2-21
5,Bottle gourd, 1, 12,2014-2-21
6,Pumpkin, 1, 20,2014-2-21
7,Bean, 1, 40,2014-2-21
8,Cluster Beans, 1, 24,2014-2-21
9,Red Chilies, 1, 40,2014-2-21
10,Onion, 1, 32,2014-2-21
11,Pallari, 1, 28,2014-2-21
12,Ginger, 1, –,2014-2-21
13,Potato, 1, 36,2014-2-21
14,Radish, 1, 35,2014-2-21
15,Mango, 1, –,2014-2-21
16,Cabbage, 1, 24,2014-2-21
17,Carrot, 1, 36,2014-2-21
18,Beetroot, 1, 44,2014-2-21
19,Soybeans, 1, 80,2014-2-21
20,Drumstick beans, 1, 40,2014-2-21
21,butter beans, 1, –,2014-2-21
22,Banana nut, 1 piece, 5,2014-2-21
23,Banana stem, 1, 10,2014-2-21
24,Banana Flower, 1, 12,2014-2-21
25,Curry leaves, 1, 40,2014-2-21
26,Coriander leaves, 1, 30,2014-2-21
27,Mint, 1, 30,2014-2-21
28,Greens Leaves, 1, 10,2014-2-21
29,Garlic, 1, 80-170,2014-2-21
30,Button Mushrooms, 1, 180,2014-2-21
31,Papaya, 1, 20,2014-2-21
32,SavSav, 1, 30,2014-2-21
