,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 40,2013-10-28
1,Avarai Kolee / அவரை (கோலி), 1, 20,2013-10-28
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-10-28
3,Beans / பீன்ஸ், 1, 21,2013-10-28
4,Beetroot / பீட்ரூட், 1, 10,2013-10-28
5,Bellary / பெல்லாரி, 1, 40,2013-10-28
6,C Flower / காளிபிளவர், 1Flower, 15,2013-10-28
7,C Vengayam / சின்னவெங்காயம், 1, 72,2013-10-28
8,Chaw Chaw / சவ்சவ், 1, 12,2013-10-28
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 12,2013-10-28
10,Kaththari Green / கத்தரி(பச்சை), 1, 12,2013-10-28
11,Kothavarai / கொத்தவரை, 1, 22,2013-10-28
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 15,2013-10-28
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 17,2013-10-28
14,Mullaingi / முள்ளங்கி, 1, 10,2013-10-28
15,Murungai chedi / முருங்கை(செடி), 1, 52,2013-10-28
16,Murungai Maram / முருங்கை(மரம்), 1, 34,2013-10-28
17,Nelli / நெல்லி, 1, 28,2013-10-28
18,Pavarkai / பாகற்காய், 1, 17,2013-10-28
19,Perkangkai / பீர்க்கங்காய், 1, 17,2013-10-28
20,Pudalai / புடலங்காய், 1, 9,2013-10-28
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 8,2013-10-28
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 4,2013-10-28
23,Suraikai / சுரைக்காய், 1, 3,2013-10-28
24,Thakkali / தக்காளி, 1, 28,2013-10-28
25,Thatta payaru / தட்டப்பயிறு, 1, 12,2013-10-28
26,Vendai / வெண்டைக்காய், 1, 10,2013-10-28
