,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Avarai Belt / அவரை (பெல்ட்), 1, 35,2013-7-29
1,Avarai Kolee / அவரை (கோலி), 1, 27,2013-7-29
2,Avarai ottu  / அவரை (ஒட்டு), 1, –,2013-7-29
3,Beans / பீன்ஸ், 1, 22,2013-7-29
4,Beetroot / பீட்ரூட், 1, 22,2013-7-29
5,Bellary / பெல்லாரி, 1, 30,2013-7-29
6,C Flower / காளிபிளவர், 1Flower, 16,2013-7-29
7,C Vengayam / சின்னவெங்காயம், 1, 35,2013-7-29
8,Chaw Chaw / சவ்சவ், 1, 23,2013-7-29
9,Kaththari Disco / கத்தரி(டிஸ்கோ), 1, 12,2013-7-29
10,Kaththari Green / கத்தரி(பச்சை), 1, 18,2013-7-29
11,Kothavarai / கொத்தவரை, 1, 30,2013-7-29
12,Milagai Sambar  / மிளகாய்(சாம்பார்), 1, 15,2013-7-29
13,Milagai urundai / மிளகாய்(உருண்டை), 1, 32,2013-7-29
14,Mullaingi / முள்ளங்கி, 1, 6,2013-7-29
15,Murungai chedi / முருங்கை(செடி), 1, 25,2013-7-29
16,Murungai Maram / முருங்கை(மரம்), 1, 20,2013-7-29
17,Nelli / நெல்லி, 1, 30,2013-7-29
18,Pavarkai / பாகற்காய், 1, 22,2013-7-29
19,Perkangkai / பீர்க்கங்காய், 1, 20,2013-7-29
20,Pudalai / புடலங்காய், 1, 12,2013-7-29
21,Red Pusanikkai / சிகப்பு பூசணிக்காய், 1, 7,2013-7-29
22,Sambar Vellari / சாம்பார் வெள்ளரி, 1, 6,2013-7-29
23,Suraikai / சுரைக்காய், 1, 10,2013-7-29
24,Thakkali / தக்காளி, 1, 16,2013-7-29
25,Thatta payaru / தட்டப்பயிறு, 1, 15,2013-7-29
26,Vendai / வெண்டைக்காய், 1, 28,2013-7-29
