,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,Brinjal / Kathari, 1, 44,2016-12-28
1,Tomotto ottu / Thakkali Ottu, 1, 8,2016-12-28
2,Lady’s Finger / Venda Kai, 1, 18,2016-12-28
3,Snake Guard / Pudalai, 1, 14,2016-12-28
4,Bitter Gourd / Pakar kai, 1, 24,2016-12-28
5,Bottle gourd / Sura kai, 1, 8,2016-12-28
6,Pumpkin / Pusani kai, 1, 20,2016-12-28
7,Beans / Avarai Kai, 1, 28,2016-12-28
8,Cluster Beans / Kothavarai, 1, 16,2016-12-28
9,Red Chilies / Kundu Milagai, 1, 40,2016-12-28
10,Small Onion / Chinna Vengayam, 1, 25,2016-12-28
11,Big Onion / Pallari, 1, 20,2016-12-28
12,Ginger / Inji, 1, –,2016-12-28
13,Potato / Urulai Kelangu, 1, 28,2016-12-28
14,Radish / Mulangi, 1, 12,2016-12-28
15,Mango / Maa, 1, –,2016-12-28
16,Cabbage / Mutta Kose, 1, 16,2016-12-28
17,Carrot, 1, 24,2016-12-28
18,Beetroot, 1, 20,2016-12-28
19,Soya Beans, 1, 150,2016-12-28
20,Drumstick Beans / Murungai Beans, 1, 30,2016-12-28
21,Butter beans, 1, –,2016-12-28
22,Banana nut / Vala kai, 1 piece, 5,2016-12-28
23,Banana stem / Vala Thandu, 1, 10,2016-12-28
24,Banana Flower / Vala Poo, 1, 10,2016-12-28
25,Curry leaves / Karu Vepilai, 1, 20,2016-12-28
26,Coriander leaves / Malli Ilai, 1, 15,2016-12-28
27,Mint / Puthina, 1, 15,2016-12-28
28,Greens Leaves / Keerai Kattu, 1, 12,2016-12-28
29,Garlic / Poondu, 1, –,2016-12-28
30,Button Mushrooms / Button Kaalan, 1, –,2016-12-28
31,Papaya / Papali, 1, 25,2016-12-28
32,Sav Sav, 1, 20,2016-12-28
33,Sapotta, 1, –,2016-12-28
34,Puli / Tamarind, 1, 60,2016-12-28
