Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 25 to 30,2018_01_09
Tomato/தக்காளி 1st Quality,1, 5,2018_01_09
Tomato/தக்காளி 2nd Quality,1, –,2018_01_09
Small Onion/சிறிய வெங்காயம்,1, 49,2018_01_09
Bellary/பெல்லாரி,1, 45 to 48,2018_01_09
Beans/பீன்ஸ் 1st Quality,1, 18 to 38,2018_01_09
Beans/பீன்ஸ் 2nd Quality,1, 15 to 33,2018_01_09
Carrot/கேரட் 1st Quality,1, 38 to 45,2018_01_09
Carrot/கேரட் 2nd Quality,1, 33 to 40,2018_01_09
Lady Finger/வெண்டைக்காய்,1, 12,2018_01_09
Tree Drumstick/மரம் முருங்கை,1, –,2018_01_09
Plant Drumstick/முருங்கை,1, 90 to 100,2018_01_09
Beans/அவரை ஒட்டு,1, 6 to 13,2018_01_09
Green Pulses/பச்சை பயிறு,1, 8,2018_01_09
White Pulses/வெள்ளை பயிறு,1, 13,2018_01_09
Zucchini/சுரைக்காய்,1, 3,2018_01_09
Beetroot/பீட்ரூட்,1, 6,2018_01_09
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3 to 4,2018_01_09
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 2 to 3,2018_01_09
Kalla Manga/கள்ள மாங்காய்,1, 130,2018_01_09
OOrutu Manga/உருட்டு மாங்காய்,1, 90,2018_01_09
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2018_01_09
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2018_01_09
Coconut/தேங்காய் 1st Quality,1, 45 to 48,2018_01_09
Coconut/தேங்காய் 2nd Quality,1, 40 to 43,2018_01_09
Green Chilli/பச்சை மிளகாய்,1, 10 to 13,2018_01_09
Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018_01_09
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018_01_09
Green Brinjal/கத்தரிக்காய் பச்சை,1, 5 to 10,2018_01_09
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 10 to 12,2018_01_09
Banana Thar/வாழை தார்,1, 12 to 18,2018_01_09
Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2018_01_09
Gourd/புடலங்காய் 1st Quality,1, 3,2018_01_09
Gourd/புடலங்காய் 2nd Quality,1, –,2018_01_09
Coriander/கொத்தமல்லி 1st Quality,1, 8 to 10,2018_01_09
Coriander/கொத்தமல்லி 2nd Quality,1, –,2018_01_09
Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018_01_09
Radish/முள்ளங்கி 2nd Quality,1, –,2018_01_09
Ginger/இஞ்சி,1, 20 to 25,2018_01_09
Butter Beans/பட்டர் பீன்ஸ்,1, 80,2018_01_09
Cabbage/முட்டை கோஸ்,1, 10 to 13,2018_01_09
Green Peas/பச்சை பட்டாணி,1, 40 to 50,2018_01_09
Bitter Gourd/பாகற்காய்,1, 12 to 13,2018_01_09
Nookal/நூக்கல்,1, 10 to 15,2018_01_09
Chaw Chaw/சவ்சவ்,1, 6 to 8,2018_01_09
Kovakkai/கோவக்காய்,1, 16,2018_01_09
Cluster Beans/கொத்தவரங்காய்,1, 10 to 13,2018_01_09
Gooseberry/நெல்லிக்காய்,1, 30 to 38,2018_01_09
Narthangai/நார்த்தங்காய்,1, 30,2018_01_09
Cucumber/வெள்ளரிக்காய்,1, 7,2018_01_09
Garlic/வெள்ளை பூண்டு,1, 80 to 100,2018_01_09
Gourd/பீர்க்கங்காய்,1, 15 to 17,2018_01_09
Small Tuber/சிறு கிழங்கு,1, 40,2018_01_09
Colocasia/சேப்பங்கிழங்கு,1, 35,2018_01_09
Soya beans/சோயா பீன்ஸ்,1, 80,2018_01_09
Butter Soya/பட்டர் சோயா,1, 80,2018_01_09
Senai Kilangu/சேனை கிழங்கு,1, 30,2018_01_09
Karunai Kilangu/கருணைக்கிழங்கு,1, 35,2018_01_09
Drumstick beans/முருங்கை பீன்ஸ்,1, 15,2018_01_09
Mangai Inji/மாங்காய் இஞ்சி,1, 20 to 25,2018_01_09
