Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 20 to 35,2018_01_12
Tomato/தக்காளி 1st Quality,1, 6 to 7,2018_01_12
Tomato/தக்காளி 2nd Quality,1, –,2018_01_12
Small Onion/சிறிய வெங்காயம்,1, 40 to 50,2018_01_12
Bellary/பெல்லாரி,1, 45 to 50,2018_01_12
Beans/பீன்ஸ் 1st Quality,1, 10 to 18,2018_01_12
Beans/பீன்ஸ் 2nd Quality,1, –,2018_01_12
Carrot/கேரட் 1st Quality,1, 20 to 40,2018_01_12
Carrot/கேரட் 2nd Quality,1, 15 to 35,2018_01_12
Lady Finger/வெண்டைக்காய்,1, 15,2018_01_12
Tree Drumstick/மரம் முருங்கை,1, –,2018_01_12
Plant Drumstick/முருங்கை,1, 80 to 110,2018_01_12
Beans/அவரை ஒட்டு,1, 5 to 12,2018_01_12
Green Pulses/பச்சை பயிறு,1, 13,2018_01_12
White Pulses/வெள்ளை பயிறு,1, 8,2018_01_12
Zucchini/சுரைக்காய்,1, 2,2018_01_12
Beetroot/பீட்ரூட்,1, 5,2018_01_12
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 3,2018_01_12
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 4.50,2018_01_12
Kalla Manga/கள்ள மாங்காய்,1, 130,2018_01_12
OOrutu Manga/உருட்டு மாங்காய்,1, 110,2018_01_12
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 15,2018_01_12
Potato/உருளைக்கிழங்கு 2nd Quality,1, 10,2018_01_12
Coconut/தேங்காய் 1st Quality,1, 40 to 48,2018_01_12
Coconut/தேங்காய் 2nd Quality,1, 35 to 43,2018_01_12
Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2018_01_12
Cauliflower/காலிஃபிளவர் 1st Quality,1, 12 to 15,2018_01_12
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018_01_12
Green Brinjal/கத்தரிக்காய் பச்சை,1, 5 to 10,2018_01_12
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 8,2018_01_12
Banana Thar/வாழை தார்,1, 25 to 30,2018_01_12
Curry Leaves/கறிவேப்பிலை,1, 10 to 15,2018_01_12
Gourd/புடலங்காய் 1st Quality,1, 2,2018_01_12
Gourd/புடலங்காய் 2nd Quality,1, –,2018_01_12
Coriander/கொத்தமல்லி 1st Quality,1, 5 to 8,2018_01_12
Coriander/கொத்தமல்லி 2nd Quality,1, –,2018_01_12
Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018_01_12
Radish/முள்ளங்கி 2nd Quality,1, –,2018_01_12
Ginger/இஞ்சி,1, 25 to 30,2018_01_12
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 90,2018_01_12
Cabbage/முட்டை கோஸ்,1, 10 to 15,2018_01_12
Green Peas/பச்சை பட்டாணி,1, 40 to 50,2018_01_12
Bitter Gourd/பாகற்காய்,1, 8,2018_01_12
Nookal/நூக்கல்,1, 10 to 15,2018_01_12
Chaw Chaw/சவ்சவ்,1, 5 to 6,2018_01_12
Kovakkai/கோவக்காய்,1, 7,2018_01_12
Cluster Beans/கொத்தவரங்காய்,1, 11,2018_01_12
Gooseberry/நெல்லிக்காய்,1, 30 to 35,2018_01_12
Narthangai/நார்த்தங்காய்,1, 30,2018_01_12
Cucumber/வெள்ளரிக்காய்,1, 8,2018_01_12
Garlic/வெள்ளை பூண்டு,1, 40 to 80,2018_01_12
Gourd/பீர்க்கங்காய்,1, 10 to 12,2018_01_12
Small Tuber/சிறு கிழங்கு,1, 40,2018_01_12
Colocasia/சேப்பங்கிழங்கு,1, 20 to 25,2018_01_12
Soya beans/சோயா பீன்ஸ்,1, 70 to 80,2018_01_12
Butter Soya/பட்டர் சோயா,1, 80,2018_01_12
Senai Kilangu/சேனை கிழங்கு,1, 20 to 25,2018_01_12
Karunai Kilangu/கருணைக்கிழங்கு,1, 20 to 25,2018_01_12
Drumstick beans/முருங்கை பீன்ஸ்,1, 10 to 15,2018_01_12
Mangai Inji/மாங்காய் இஞ்சி,1, 30 to 35,2018_01_12
