Commodity, Weight in Kg, Price in Rs,Date
Lemon/எலுமிச்சை,1, 15 to 25,2018_01_02
Tomato/தக்காளி 1st Quality,1, 5 to 6,2018_01_02
Tomato/தக்காளி 2nd Quality,1, –,2018_01_02
Small Onion/சிறிய வெங்காயம்,1, 50 to 60,2018_01_02
Bellary/பெல்லாரி,1, 40 to 45,2018_01_02
Beans/பீன்ஸ் 1st Quality,1, 10 to 20,2018_01_02
Beans/பீன்ஸ் 2nd Quality,1, 15,2018_01_02
Carrot/கேரட் 1st Quality,1, 35 to 45,2018_01_02
Carrot/கேரட் 2nd Quality,1, 30 to 40,2018_01_02
Lady Finger/வெண்டைக்காய்,1, 12,2018_01_02
Tree Drumstick/மரம் முருங்கை,1, –,2018_01_02
Plant Drumstick/முருங்கை,1, 50 to 70,2018_01_02
Beans/அவரை ஒட்டு,1, 12 to 25,2018_01_02
Green Pulses/பச்சை பயிறு,1, 6,2018_01_02
White Pulses/வெள்ளை பயிறு,1, 10,2018_01_02
Zucchini/சுரைக்காய்,1, 2,2018_01_02
Beetroot/பீட்ரூட்,1, 9,2018_01_02
White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2018_01_02
Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2018_01_02
Kalla Manga/கள்ள மாங்காய்,1, 110,2018_01_02
OOrutu Manga/உருட்டு மாங்காய்,1, 90,2018_01_02
Potato/உருளைக்கிழங்கு 1st Quality,1, 12 to 18,2018_01_02
Potato/உருளைக்கிழங்கு 2nd Quality,1, 15,2018_01_02
Coconut/தேங்காய் 1st Quality,1, 40 to 45,2018_01_02
Coconut/தேங்காய் 2nd Quality,1, 35 to 40,2018_01_02
Green Chilli/பச்சை மிளகாய்,1, 10 to 15,2018_01_02
Cauliflower/காலிஃபிளவர் 1st Quality,1, 10 to 15,2018_01_02
Cauliflower/காலிஃபிளவர் 2nd Quality,1, 10,2018_01_02
Green Brinjal/கத்தரிக்காய் பச்சை,1, 15 to 20,2018_01_02
Blue Brinjal/கத்தரிக்காய் நீலம்,1, 7 to 10,2018_01_02
Banana Thar/வாழை தார்,1, 25 to 30,2018_01_02
Curry Leaves/கறிவேப்பிலை,1, 15 to 20,2018_01_02
Gourd/புடலங்காய் 1st Quality,1, 3,2018_01_02
Gourd/புடலங்காய் 2nd Quality,1, –,2018_01_02
Coriander/கொத்தமல்லி 1st Quality,1, 10 to 15,2018_01_02
Coriander/கொத்தமல்லி 2nd Quality,1, –,2018_01_02
Radish/முள்ளங்கி 1st Quality,1, 10 to 15,2018_01_02
Radish/முள்ளங்கி 2nd Quality,1, –,2018_01_02
Ginger/இஞ்சி,1, 30 to 35,2018_01_02
Butter Beans/பட்டர் பீன்ஸ்,1, 80 to 100,2018_01_02
Cabbage/முட்டை கோஸ்,1, 10 to 15,2018_01_02
Green Peas/பச்சை பட்டாணி,1, 60,2018_01_02
Bitter Gourd/பாகற்காய்,1, 12 to 15,2018_01_02
Nookal/நூக்கல்,1, 10 to 15,2018_01_02
Chaw Chaw/சவ்சவ்,1, 4 to 7,2018_01_02
Kovakkai/கோவக்காய்,1, 25,2018_01_02
Cluster Beans/கொத்தவரங்காய்,1, 10 to 15,2018_01_02
Gooseberry/நெல்லிக்காய்,1, 30 to 35,2018_01_02
Narthangai/நார்த்தங்காய்,1, 30,2018_01_02
Cucumber/வெள்ளரிக்காய்,1, 10,2018_01_02
Garlic/வெள்ளை பூண்டு,1, 80 to 100,2018_01_02
Gourd/பீர்க்கங்காய்,1, 10 to 13,2018_01_02
Small Tuber/சிறு கிழங்கு,1, 40,2018_01_02
Colocasia/சேப்பங்கிழங்கு,1, 35,2018_01_02
Soya beans/சோயா பீன்ஸ்,1, 80,2018_01_02
Butter Soya/பட்டர் சோயா,1, 80,2018_01_02
Senai Kilangu/சேனை கிழங்கு,1, 25 to 27,2018_01_02
Karunai Kilangu/கருணைக்கிழங்கு,1, 15 to 20,2018_01_02
Drumstick beans/முருங்கை பீன்ஸ்,1, 15,2018_01_02
Mangai Inji/மாங்காய் இஞ்சி,1, 30,2018_01_02
