,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Brinjal, 1, 28,2014-05-01
1,1,1,Tomotto ottu, 1, 16,2014-05-01
2,2,2,LadyFinger, 1, 26,2014-05-01
3,3,3,SnakeGuard, 1, 20,2014-05-01
4,4,4,BitterGourd, 1, 36,2014-05-01
5,5,5,Bottlegourd, 1, 14,2014-05-01
6,6,6,Pumpkin, 1, 16,2014-05-01
7,7,7,Bean, 1, 50,2014-05-01
8,8,8,ClusterBeans, 1, 24,2014-05-01
9,9,9,Red Chillies, 1, 70,2014-05-01
10,10,10,Onion, 1, 24,2014-05-01
11,11,11,Pallari, 1, 19,2014-05-01
12,12,12,Ginger, 1, 140,2014-05-01
13,13,13,Potato, 1, 30,2014-05-01
14,14,14,Radish, 1, 14,2014-05-01
15,15,15,Mango, 1, 24,2014-05-01
16,16,16,Cabbage, 1, 14,2014-05-01
17,17,17,Carrot, 1, 28,2014-05-01
18,18,18,Beetroot, 1, 20,2014-05-01
19,19,19,Soybeans, 1, 100,2014-05-01
20,20,20,Drumstickbeans, 1, 50,2014-05-01
21,21,21,butterbeans, 1, –,2014-05-01
22,22,22,Banana nut, 1 piece, 02,2014-05-01
23,23,23,Banana stem, 1, 05,2014-05-01
24,24,24,BananaFlower, 1, 08,2014-05-01
25,25,25,Curry leaves, 1, 35,2014-05-01
26,26,26,Coriander leaves, 1, 30,2014-05-01
27,27,27,Mint, 1, 30,2014-05-01
28,28,28,GreensLeaves, 1, 10,2014-05-01
29,29,29,Garlic, 1, 80-120,2014-05-01
30,30,30,ButtonMushrooms, 1, 188,2014-05-01
31,31,31,Papaya, 1, 20,2014-05-01
32,32,32,SavSav, 1, 20,2014-05-01
