Commodity, Weight in Kg, Price in Rs
Lemon, 1, 40 to 45
Tomato/Thakkali 1st Quality, 1, 10
Tomato/Thakkali 2nd Quality, 1, –
Small Onion, 1, 50 to 70
Bellary (Big Onion), 1, 10 to 12
Beans 1st Quality, –, 75 to 80
Beans 2nd Quality, 1, 70to 75
Carrot 1st Quality, 1, 60 to 70
Carrot 2nd Quality, 1, 55 to 65
Vendai Kai/Lady Finger, 1, 34
Maram Murungai, 1, 27 to 29
Chedi Murungai, 1, 24
Avarai Ottu, 1, 40 to 55
Pachai Payaru, 1, 20
Vellai Payaru, 1, 20
Suraikai, 1, 5
Beetroot, 1, 20 to 33
Sunami Sambar, 1, 12 to 18
Pusanikai, 1, 12 to 14
Kalla Manga/Mango, 1, 7 to 11
Orutu Manga/Mango, 1, 9
Potato 1st Quality, 1, 15 to 16
Potato 2nd Quality, 1, 10 to 11
Coconut 1st Quality, –, 25
Coconut 2nd Quality, –, 20
Green Chilli, 1, 19 to 45
Cauliflower 1st Quality, –, 20
Cauliflower 2nd Quality, –, 15
Katharikai Pachai, 1, 25 to 30
Katharikai ootha, 1, 20
Valai Thar, –, 25
Karuveppilai/Curry Leaf, 1 Kattu, 25
Pudalangai/Snake gourd 1st Quality, 1, 17 to 20
Pudalangai/Snake gourd 2nd Quality, 1, 12 to 15
Kothamalli 1st Quality, 1 kattu, 80 to 100
Kothamalli 2nd Quality, 1 kattu, 75 to 95
Mullangi 1st Quality, 1, 30 to 35
Mullangi 2nd Quality, 1, 25 to 30
Inji/Ginger, 1, 25 to 30
Butter Beans, 1, 160
Mutta Kose, 1, 12 to 15
Pachai Pattani, 1, 90
Pakarkai, 1, 35 to 40
Nookal, 1, 40
Chaw Chaw, 1, 25
Kovakkai, 1, 18
Kothavarangai, 1, 15
Nellikai, 1, 20 to 40
Narthangai, 1, 60 to 70
Vellarikai, 1, 18
