,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,0,0,Lemon, 1, 50 to 55,2017-4-15
1,1,1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 10 to 20,2017-4-15
2,2,2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, 15,2017-4-15
3,3,3,3,3,3,3,3,Small Onion, 1, 55 to 60,2017-4-15
4,4,4,4,4,4,4,4,Bellary (Big Onion), 1, 10 to 12,2017-4-15
5,5,5,5,5,5,5,5,Beans 1st Quality, –, 75 to 85,2017-4-15
6,6,6,6,6,6,6,6,Beans 2nd Quality, 1, 70 to 80,2017-4-15
7,7,7,7,7,7,7,7,Carrot 1st Quality, 1, 40 to 60,2017-4-15
8,8,8,8,8,8,8,8,Carrot 2nd Quality, 1, 35 to 55,2017-4-15
9,9,9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 10 to 20,2017-4-15
10,10,10,10,10,10,10,10,Maram Murungai, 1, 11 to 18,2017-4-15
11,11,11,11,11,11,11,11,Chedi Murungai, 1, 25,2017-4-15
12,12,12,12,12,12,12,12,Avarai Ottu, 1, 15 to 20,2017-4-15
13,13,13,13,13,13,13,13,Pachai Payaru, 1, 25,2017-4-15
14,14,14,14,14,14,14,14,Vellai Payaru, 1, 40,2017-4-15
15,15,15,15,15,15,15,15,Suraikai, 1, 10,2017-4-15
16,16,16,16,16,16,16,16,Beetroot, 1, 20 to 30,2017-4-15
17,17,17,17,17,17,17,17,Sunami Sambar, 1, 25,2017-4-15
18,18,18,18,18,18,18,18,Pusanikai, 1, 16,2017-4-15
19,19,19,19,19,19,19,19,Kalla Manga/Mango, 1, 14,2017-4-15
20,20,20,20,20,20,20,20,Orutu Manga/Mango, 1, 15,2017-4-15
21,21,21,21,21,21,21,21,Potato 1st Quality, 1, 15 to 18,2017-4-15
22,22,22,22,22,22,22,22,Potato 2nd Quality, 1, 10 to 13,2017-4-15
23,23,23,23,23,23,23,23,Coconut 1st Quality, –, 25,2017-4-15
24,24,24,24,24,24,24,24,Coconut 2nd Quality, –, 20,2017-4-15
25,25,25,25,25,25,25,25,Green Chilli, 1, 40 to 65,2017-4-15
26,26,26,26,26,26,26,26,Cauliflower 1st Quality, –, 25,2017-4-15
27,27,27,27,27,27,27,27,Cauliflower 2nd Quality, –, 20,2017-4-15
28,28,28,28,28,28,28,28,Katharikai Pachai, 1, 20,2017-4-15
29,29,29,29,29,29,29,29,Katharikai ootha, 1, 30,2017-4-15
30,30,30,30,30,30,30,30,Valai Thar, –, 25,2017-4-15
31,31,31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 30,2017-4-15
32,32,32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 20,2017-4-15
33,33,33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 25,2017-4-15
34,34,34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 50,2017-4-15
35,35,35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 45,2017-4-15
36,36,36,36,36,36,36,36,Mullangi 1st Quality, 1, 30,2017-4-15
37,37,37,37,37,37,37,37,Mullangi 2nd Quality, 1, 25,2017-4-15
38,38,38,38,38,38,38,38,Inji/Ginger, 1, 25 to 30,2017-4-15
39,39,39,39,39,39,39,39,Butter Beans, 1, 160,2017-4-15
40,40,40,40,40,40,40,40,Mutta Kose, 1, 20 to 26,2017-4-15
41,41,41,41,41,41,41,41,Pachai Pattani, 1, 140 to 150,2017-4-15
42,42,42,42,42,42,42,42,Pakarkai, 1, 30 to 38,2017-4-15
43,43,43,43,43,43,43,43,Nookal, 1, 40,2017-4-15
44,44,44,44,44,44,44,44,Chaw Chaw, 1, 25,2017-4-15
45,45,45,45,45,45,45,45,Kovakkai, 1, 15 to 18,2017-4-15
46,46,46,46,46,46,46,46,Kothavarangai, 1, 18 to 25,2017-4-15
