,Unnamed: 0,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,Lemon, 1, 40 to 60,2017-10-17
1,1,Tomato/Thakkali 1st Quality, 1, 40 to 45,2017-10-17
2,2,Tomato/Thakkali 2nd Quality, 1, 35 to 40,2017-10-17
3,3,Small Onion, 1, 90 to 110,2017-10-17
4,4,Bellary (Big Onion), 1, 25 to 30,2017-10-17
5,5,Beans 1st Quality, –, 45 to 55,2017-10-17
6,6,Beans 2nd Quality, 1, 40 to 50,2017-10-17
7,7,Carrot 1st Quality, 1, 40 to 45,2017-10-17
8,8,Carrot 2nd Quality, 1, 35 to 40,2017-10-17
9,9,Vendai Kai/Lady Finger, 1, 20 to 25,2017-10-17
10,10,Maram Murungai, 1, 125,2017-10-17
11,11,Chedi Murungai, 1, 110,2017-10-17
12,12,Avarai Ottu, 1, 45 to 55,2017-10-17
13,13,Pachai Payaru, 1, 12,2017-10-17
14,14,Vellai Payaru, 1, 20,2017-10-17
15,15,Suraikai, 1, 4 to 5,2017-10-17
16,16,Beetroot, 1, 25,2017-10-17
17,17,Sunami Sambar, 1, 5 to 8,2017-10-17
18,18,Pusanikai, 1, 8 to 10,2017-10-17
19,19,Kalla Manga/Mango, 1, 85,2017-10-17
20,20,Orutu Manga/Mango, 1, 65,2017-10-17
21,21,Potato 1st Quality, 1, 18 to 20,2017-10-17
22,22,Potato 2nd Quality, 1, 15,2017-10-17
23,23,Coconut 1st Quality, –, 40 to 42,2017-10-17
24,24,Coconut 2nd Quality, –, 35 to 36,2017-10-17
25,25,Green Chilli, 1, 27 to 30,2017-10-17
26,26,Cauliflower 1st Quality, –, 35 to 40,2017-10-17
27,27,Cauliflower 2nd Quality, –, 30 to 35,2017-10-17
28,28,Katharikai Pachai, 1, 45,2017-10-17
29,29,Katharikai ootha, 1, 35,2017-10-17
30,30,Valai Thar, –, 26 to 24,2017-10-17
31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-10-17
32,32,Pudalangai/Snake gourd 1st Quality, 1, 12 to 15,2017-10-17
33,33,Pudalangai/Snake gourd 2nd Quality, 1, –,2017-10-17
34,34,Kothamalli 1st Quality, 1 kattu, 150 to 160,2017-10-17
35,35,Kothamalli 2nd Quality, 1 kattu, 140 to 150,2017-10-17
36,36,Mullangi 1st Quality, 1, 35 to 40,2017-10-17
37,37,Mullangi 2nd Quality, 1, 30 to 35,2017-10-17
38,38,Inji/Ginger, 1, 40 to 60,2017-10-17
39,39,Butter Beans, 1, 160,2017-10-17
40,40,Mutta Kose, 1, 35 to 40,2017-10-17
41,41,Pachai Pattani, 1, 200 to 220,2017-10-17
42,42,Pakarkai, 1, 20,2017-10-17
43,43,Nookal, 1, 30,2017-10-17
44,44,Chaw Chaw, 1, 7 to 10,2017-10-17
45,45,Kovakkai, 1, 22,2017-10-17
46,46,Kothavarangai, 1, 7 to 12,2017-10-17
47,47,Nellikai, 1, 25 to 30,2017-10-17
48,48,Narthangai, 1, 25,2017-10-17
49,49,Vellarikai, 1, 20,2017-10-17
