,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Belt Beans / Avarai Belt, 1, 30,2017- 1-9
1,1,1,Beans Kolee / Avarai Kolee, 1, 30,2017- 1-9
2,2,2,Avarai ottu, 1, –,2017- 1-9
3,3,3,Beans, 1, 30,2017- 1-9
4,4,4,Beetroot, 1, 10,2017- 1-9
5,5,5,Bellary / Big Onion, 1, 18,2017- 1-9
6,6,6,Cauliflower, 1 Flower, 17,2017- 1-9
7,7,7,Small Onion / Chinna Vengayam, 1, 10,2017- 1-9
8,8,8,Chaw Chaw, 1, 10,2017- 1-9
9,9,9,Disco Brinjal / Kaththari kai Disco, 1, 20,2017- 1-9
10,10,10,Green Brinjal / Kaththari Kai Pachai, 1, 20,2017- 1-9
11,11,11,Cluster Beans / Kothavarai, 1, 15,2017- 1-9
12,12,12,Samba Chilli / Milagai Samba, 1, 25,2017- 1-9
13,13,13,Round Chilli / Milagai Urundai, 1, 45,2017- 1-9
14,14,14,Radish / Mullangi, 1, 6,2017- 1-9
15,15,15,Drumstick / Murungai Chedi, 1, 80,2017- 1-9
16,16,16,Drumstick / Murungai Maram, 1, 60,2017- 1-9
17,17,17,Nelli Kai, 1, 25,2017- 1-9
18,18,18,Bitter Gourd / Pakar kai, 1, –,2017- 1-9
19,19,19,Perkangkai, 1, 15,2017- 1-9
20,20,20,Snake Guard / Pudalai, 1, 7,2017- 1-9
21,21,21,Red Pumpkin / Red Pusanikkai, 1, 4,2017- 1-9
22,22,22,Sambar Vellari, 1, 5,2017- 1-9
23,23,23,Bottle gourd / Suraikai, 1, 4,2017- 1-9
24,24,24,Tomato / Thakkali, 1, 6,2017- 1-9
25,25,25,Thatta payaru, 1, 25,2017- 1-9
26,26,26,Lady’s Finger / Venda Kai, 1, 12,2017- 1-9
27,27,27,Lemon / Elumbichai, 1, 10,2017- 1-9
