,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon, 1, 45,2017-4-18
1,1,1,1,1,1,Tomato/Thakkali 1st Quality, 1, 10,2017-4-18
2,2,2,2,2,2,Tomato/Thakkali 2nd Quality, 1, _,2017-4-18
3,3,3,3,3,3,Small Onion, 1, 45 to 50,2017-4-18
4,4,4,4,4,4,Bellary (Big Onion), 1, 10 to 12,2017-4-18
5,5,5,5,5,5,Beans 1st Quality, –, 70 to 85,2017-4-18
6,6,6,6,6,6,Beans 2nd Quality, 1, 65 to 80,2017-4-18
7,7,7,7,7,7,Carrot 1st Quality, 1, 50 to 60,2017-4-18
8,8,8,8,8,8,Carrot 2nd Quality, 1, 45 to 55,2017-4-18
9,9,9,9,9,9,Vendai Kai/Lady Finger, 1, 10 to 15,2017-4-18
10,10,10,10,10,10,Maram Murungai, 1, 8 to 10,2017-4-18
11,11,11,11,11,11,Chedi Murungai, 1, 14,2017-4-18
12,12,12,12,12,12,Avarai Ottu, 1, 25,2017-4-18
13,13,13,13,13,13,Pachai Payaru, 1, 22,2017-4-18
14,14,14,14,14,14,Vellai Payaru, 1, 32,2017-4-18
15,15,15,15,15,15,Suraikai, 1, 10 to 12,2017-4-18
16,16,16,16,16,16,Beetroot, 1, 30,2017-4-18
17,17,17,17,17,17,Sunami Sambar, 1, 25 to 28,2017-4-18
18,18,18,18,18,18,Pusanikai, 1, 11 to 14,2017-4-18
19,19,19,19,19,19,Kalla Manga/Mango, 1, 15,2017-4-18
20,20,20,20,20,20,Orutu Manga/Mango, 1, 9,2017-4-18
21,21,21,21,21,21,Potato 1st Quality, 1, 12 to 15,2017-4-18
22,22,22,22,22,22,Potato 2nd Quality, 1, 7 to 10,2017-4-18
23,23,23,23,23,23,Coconut 1st Quality, –, 25,2017-4-18
24,24,24,24,24,24,Coconut 2nd Quality, –, 20,2017-4-18
25,25,25,25,25,25,Green Chilli, 1, 12 to 35,2017-4-18
26,26,26,26,26,26,Cauliflower 1st Quality, –, 25,2017-4-18
27,27,27,27,27,27,Cauliflower 2nd Quality, –, 20,2017-4-18
28,28,28,28,28,28,Katharikai Pachai, 1, 20 to 25,2017-4-18
29,29,29,29,29,29,Katharikai ootha, 1, 30 to 35,2017-4-18
30,30,30,30,30,30,Valai Thar, –, 25,2017-4-18
31,31,31,31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 20,2017-4-18
32,32,32,32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 20,2017-4-18
33,33,33,33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 15,2017-4-18
34,34,34,34,34,34,Kothamalli 1st Quality, 1 kattu, 40 to 60,2017-4-18
35,35,35,35,35,35,Kothamalli 2nd Quality, 1 kattu, 35 to 50,2017-4-18
36,36,36,36,36,36,Mullangi 1st Quality, 1, 25,2017-4-18
37,37,37,37,37,37,Mullangi 2nd Quality, 1, 20,2017-4-18
38,38,38,38,38,38,Inji/Ginger, 1, 25 to 30,2017-4-18
39,39,39,39,39,39,Butter Beans, 1, 160,2017-4-18
40,40,40,40,40,40,Mutta Kose, 1, 25,2017-4-18
41,41,41,41,41,41,Pachai Pattani, 1, 20 to 80,2017-4-18
42,42,42,42,42,42,Pakarkai, 1, 30 to 35,2017-4-18
43,43,43,43,43,43,Nookal, 1, 30,2017-4-18
44,44,44,44,44,44,Chaw Chaw, 1, 27,2017-4-18
45,45,45,45,45,45,Kovakkai, 1, 12 to 15,2017-4-18
46,46,46,46,46,46,Kothavarangai, 1, 7 to 18,2017-4-18
