,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon, 1, 60 to 70,2017-10-6
1,1,1,Tomato/Thakkali 1st Quality, 1, 15 to 20,2017-10-6
2,2,2,Tomato/Thakkali 2nd Quality, 1, 10,2017-10-6
3,3,3,Small Onion, 1, 80 to 100,2017-10-6
4,4,4,Bellary (Big Onion), 1, 27,2017-10-6
5,5,5,Beans 1st Quality, –, 50,2017-10-6
6,6,6,Beans 2nd Quality, 1, 45,2017-10-6
7,7,7,Carrot 1st Quality, 1, 30 to 35,2017-10-6
8,8,8,Carrot 2nd Quality, 1, 25 ti 30,2017-10-6
9,9,9,Vendai Kai/Lady Finger, 1, 10 to 12,2017-10-6
10,10,10,Maram Murungai, 1, 80,2017-10-6
11,11,11,Chedi Murungai, 1, 60 to 70,2017-10-6
12,12,12,Avarai Ottu, 1, 37 to 50,2017-10-6
13,13,13,Pachai Payaru, 1, 28,2017-10-6
14,14,14,Vellai Payaru, 1, 30,2017-10-6
15,15,15,Suraikai, 1, 6,2017-10-6
16,16,16,Beetroot, 1, 20 to 25,2017-10-6
17,17,17,Sunami Sambar, 1, 5.50,2017-10-6
18,18,18,Pusanikai, 1, 12,2017-10-6
19,19,19,Kalla Manga/Mango, 1, 85,2017-10-6
20,20,20,Orutu Manga/Mango, 1, 65 to 90,2017-10-6
21,21,21,Potato 1st Quality, 1, 15 to 20,2017-10-6
22,22,22,Potato 2nd Quality, 1, 10,2017-10-6
23,23,23,Coconut 1st Quality, –, 40 to 45,2017-10-6
24,24,24,Coconut 2nd Quality, –, 35 to 40,2017-10-6
25,25,25,Green Chilli, 1, 25 to 30,2017-10-6
26,26,26,Cauliflower 1st Quality, –, 20 to 25,2017-10-6
27,27,27,Cauliflower 2nd Quality, –, 15 to 20,2017-10-6
28,28,28,Katharikai Pachai, 1, 50,2017-10-6
29,29,29,Katharikai ootha, 1, 35,2017-10-6
30,30,30,Valai Thar, –, 26,2017-10-6
31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 10,2017-10-6
32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 15,2017-10-6
33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, –,2017-10-6
34,34,34,Kothamalli 1st Quality, 1 kattu, 60 to 70,2017-10-6
35,35,35,Kothamalli 2nd Quality, 1 kattu, 55 to 65,2017-10-6
36,36,36,Mullangi 1st Quality, 1, 30 to 35,2017-10-6
37,37,37,Mullangi 2nd Quality, 1, 25 to 30,2017-10-6
38,38,38,Inji/Ginger, 1, 45 to 50,2017-10-6
39,39,39,Butter Beans, 1, 120,2017-10-6
40,40,40,Mutta Kose, 1, 35 to 40,2017-10-6
41,41,41,Pachai Pattani, 1, 120,2017-10-6
42,42,42,Pakarkai, 1, 30,2017-10-6
43,43,43,Nookal, 1, 30,2017-10-6
44,44,44,Chaw Chaw, 1, 8 to 10,2017-10-6
45,45,45,Kovakkai, 1, 28 to 30,2017-10-6
46,46,46,Kothavarangai, 1, 12,2017-10-6
47,47,47,Nellikai, 1, 20 to 25,2017-10-6
48,48,48,Narthangai, 1, 20 to 30,2017-10-6
49,49,49,Vellarikai, 1, 23,2017-10-6
