,Unnamed: 0,Unnamed: 0.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,Lemon, 1, 30 to 35,2017- 2-8
1,1,1,Tomato/Thakkali 1st Quality, 1, 20 to 25,2017- 2-8
2,2,2,Tomato/Thakkali 2nd Quality, 1, 15 to 20,2017- 2-8
3,3,3,Small Onion, 1, 30 to 35,2017- 2-8
4,4,4,Bellary (Big Onion), 1, 8 to 12,2017- 2-8
5,5,5,Beans 1st Quality, –, 50 to70,2017- 2-8
6,6,6,Beans 2nd Quality, 1, 45 to 60,2017- 2-8
7,7,7,Carrot 1st Quality, 1, 20 to 25,2017- 2-8
8,8,8,Carrot 2nd Quality, 1, 15 to 20,2017- 2-8
9,9,9,Vendai Kai/Lady Finger, 1, 60 to 65,2017- 2-8
10,10,10,Maram Murungai, 1, 18 to 20,2017- 2-8
11,11,11,Chedi Murungai, 1, 25 to 28,2017- 2-8
12,12,12,Avarai Ottu, 1, 25 to 27,2017- 2-8
13,13,13,Pachai Payaru, 1, 36,2017- 2-8
14,14,14,Vellai Payaru, 1, 32,2017- 2-8
15,15,15,Suraikai, 1, 9,2017- 2-8
16,16,16,Beetroot, 1, 7,2017- 2-8
17,17,17,Sunami Sambar, 1, 12,2017- 2-8
18,18,18,Pusanikai, 1, 8,2017- 2-8
19,19,19,Kalla Manga/Mango, 1, 25,2017- 2-8
20,20,20,Orutu Manga/Mango, 1, 15,2017- 2-8
21,21,21,Potato 1st Quality, 1, 20 to 25,2017- 2-8
22,22,22,Potato 2nd Quality, 1, 15 to 20,2017- 2-8
23,23,23,Coconut 1st Quality, –, 36 to 38,2017- 2-8
24,24,24,Coconut 2nd Quality, –, 30 to 37,2017- 2-8
25,25,25,Green Chilli, 1, 21 to 35,2017- 2-8
26,26,26,Cauliflower 1st Quality, –, 20 to 25,2017- 2-8
27,27,27,Cauliflower 2nd Quality, –, 18 to 20,2017- 2-8
28,28,28,Katharikai Pachai, 1, 25 to 30,2017- 2-8
29,29,29,Katharikai ootha, 1, 25 to 30,2017- 2-8
30,30,30,Valai Thar, –, 28 to 30,2017- 2-8
31,31,31,Karuveppilai/Curry Leaf, 1 Kattu, 20 to 30,2017- 2-8
32,32,32,Pudalangai/Snake gourd 1st Quality, 1, 25 to 30,2017- 2-8
33,33,33,Pudalangai/Snake gourd 2nd Quality, 1, 18 to 20,2017- 2-8
34,34,34,Kothamalli 1st Quality, 1 kattu, 10 to 20,2017- 2-8
35,35,35,Kothamalli 2nd Quality, 1 kattu, 10 to 15,2017- 2-8
36,36,36,Mullangi 1st Quality, 1, 25 to 30,2017- 2-8
37,37,37,Mullangi 2nd Quality, 1, 20 to 25,2017- 2-8
38,38,38,Inji/Ginger, 1, 25 to 30,2017- 2-8
39,39,39,Butter Beans, 1, 60 to 70,2017- 2-8
40,40,40,Mutta Kose, 1, 10 to 12,2017- 2-8
41,41,41,Pachai Pattani, 1, 25 to 30,2017- 2-8
42,42,42,Pakarkai, 1, 26,2017- 2-8
43,43,43,Nookal, 1, 20,2017- 2-8
44,44,44,Chaw Chaw, 1, 20,2017- 2-8
45,45,45,Kovakkai, 1, 40 to 50,2017- 2-8
46,46,46,Kothavarangai, 1, 28 to 30,2017- 2-8
