,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Commodity, Weight in Kg, Price in Rs,date_of_purchase
0,0,0,0,0,0,Lemon/எலுமிச்சை,1, 20 to 30,2017-12-13
1,1,1,1,1,1,Tomato/தக்காளி 1st Quality,1, 15 to 20,2017-12-13
2,2,2,2,2,2,Tomato/தக்காளி 2nd Quality,1, 10 to 15,2017-12-13
3,3,3,3,3,3,Small Onion/சிறிய வெங்காயம்,1, 110 120,2017-12-13
4,4,4,4,4,4,Bellary/பெல்லாரி,1, 46 to 48,2017-12-13
5,5,5,5,5,5,Beans/பீன்ஸ் 1st Quality,1, 50,2017-12-13
6,6,6,6,6,6,Beans/பீன்ஸ் 2nd Quality,1, 45,2017-12-13
7,7,7,7,7,7,Carrot/கேரட் 1st Quality,1, 40 to 50,2017-12-13
8,8,8,8,8,8,Carrot/கேரட் 2nd Quality,1, 35 to 45,2017-12-13
9,9,9,9,9,9,Lady Finger/வெண்டைக்காய்,1, 13,2017-12-13
10,10,10,10,10,10,Tree Drumstick/மரம் முருங்கை,1, –,2017-12-13
11,11,11,11,11,11,Plant Drumstick/ முருங்கை,1, 110 to 150,2017-12-13
12,12,12,12,12,12,Beans/அவரை ஒட்டு,1, 19,2017-12-13
13,13,13,13,13,13,Green Pulses/பச்சை பயிறு,1, 18,2017-12-13
14,14,14,14,14,14,White Pulses/வெள்ளை பயிறு,1, 20,2017-12-13
15,15,15,15,15,15,Zucchini/சுரைக்காய்,1, 5,2017-12-13
16,16,16,16,16,16,Beetroot/பீட்ரூட்,1, 12,2017-12-13
17,17,17,17,17,17,White Pumpkin/வெள்ளை பூசணிக்காய்,1, 2 to 3,2017-12-13
18,18,18,18,18,18,Sambar Pumpkin/சாம்பார் பூசணிக்காய்,1, 3 to 4,2017-12-13
19,19,19,19,19,19,Kalla Manga/கள்ள மாங்காய்,1, 85,2017-12-13
