Commodity, Weight in Kg, Price in Rs
Lemon, 1, 50 to55
Tomato/Thakkali 1st Quality, 1, 20 to 25
Tomato/Thakkali 2nd Quality, 1, 15
Small Onion, 1, 80 to 100
Bellary (Big Onion), 1, 10 to 12
Beans 1st Quality, –, 50 to 60
Beans 2nd Quality, 1, 45 to 55
Carrot 1st Quality, 1, 60 to 65
Carrot 2nd Quality, 1, 55 to 60
Vendai Kai/Lady Finger, 1, 26
Maram Murungai, 1, 24
Chedi Murungai, 1, 16
Avarai Ottu, 1, 65
Pachai Payaru, 1, 10
Vellai Payaru, 1, 15
Suraikai, 1, 11
Beetroot, 1, 25 to 28
Sunami Sambar, 1, 12 to15
Pusanikai, 1, 5.50 to 6
Kalla Manga/Mango, 1, 11
Orutu Manga/Mango, 1, 7
Potato 1st Quality, 1, 15 to 18
Potato 2nd Quality, 1, 10 to 13
Coconut 1st Quality, –, 26
Coconut 2nd Quality, –, 21
Green Chilli, 1, 30 to 45
Cauliflower 1st Quality, –, 25
Cauliflower 2nd Quality, –, 20
Katharikai Pachai, 1, 30 to 35
Katharikai ootha, 1, 20
Valai Thar, –, 28
Karuveppilai/Curry Leaf, 1 Kattu, 20
Pudalangai/Snake gourd 1st Quality, 1, 25
Pudalangai/Snake gourd 2nd Quality, 1, 20
Kothamalli 1st Quality, 1 kattu, 120
Kothamalli 2nd Quality, 1 kattu, 110
Mullangi 1st Quality, 1, 50
Mullangi 2nd Quality, 1, 55
Inji/Ginger, 1, 25 to30
Butter Beans, 1, 140
Mutta Kose, 1, 18 to20
Pachai Pattani, 1, 280
Pakarkai, 1, 17
Nookal, 1, 30
Chaw Chaw, 1, 17
Kovakkai, 1, 18
Kothavarangai, 1, 31
Nellikai, 1, 40
Narthangai, 1, 30
Vellarikai, 1, 28
