Commodity, Weight in Kg, Price in Rs
Lemon, 1, 60 to 65
Tomato/Thakkali 1st Quality, 1, 20 to 25
Tomato/Thakkali 2nd Quality, 1, 15 to 20
Small Onion, 1, 30 to 40
Bellary (Big Onion), 1, 10 to 12
Beans 1st Quality, –, 60 to 65
Beans 2nd Quality, 1, 55 to 60
Carrot 1st Quality, 1, 12 to 15
Carrot 2nd Quality, 1, 7 to 10
Vendai Kai/Lady Finger, 1, 42
Maram Murungai, 1, 8 to 10
Chedi Murungai, 1, 18
Avarai Ottu, 1, 36
Pachai Payaru, 1, 30
Vellai Payaru, 1, 25
Suraikai, 1, 9
Beetroot, 1, 16 to 18
Sunami Sambar, 1, 25
Pusanikai, 1, 18 to 20
Kalla Manga/Mango, 1, 22
Orutu Manga/Mango, 1, 20
Potato 1st Quality, 1, 12 to 14
Potato 2nd Quality, 1, 7 to 9
Coconut 1st Quality, –, 25 to 28
Coconut 2nd Quality, –, 20 to 23
Green Chilli, 1, 12 to 35
Cauliflower 1st Quality, –, 20 to 30
Cauliflower 2nd Quality, –, 15 to25
Katharikai Pachai, 1, 30 to 35
Katharikai ootha, 1, 25 to 30
Valai Thar, –, 25 to 28
Karuveppilai/Curry Leaf, 1 Kattu, 25 to 30
Pudalangai/Snake gourd 1st Quality, 1, 16 to 18
Pudalangai/Snake gourd 2nd Quality, 1, 11 to 13
Kothamalli 1st Quality, 1 kattu, 15 to 20
Kothamalli 2nd Quality, 1 kattu, 10 to 15
Mullangi 1st Quality, 1, 15 to 20
Mullangi 2nd Quality, 1, 10 to 15
Inji/Ginger, 1, 25
Butter Beans, 1, 160
Mutta Kose, 1, 12
Pachai Pattani, 1, 30
Pakarkai, 1, 25 to 32
Nookal, 1, 20
Chaw Chaw, 1, 18 to 25
Kovakkai, 1, 18
Kothavarangai, 1, 45
