Commodity, Weight in Kg, Price in Rs
Lemon, 1, 40
Tomato/Thakkali 1st Quality, 1, 20 to 25
Tomato/Thakkali 2nd Quality, 1, 15 to 20
Small Onion, 1, 50 to 55
Bellary (Big Onion), 1, 12 to 15
Beans 1st Quality, –, 50 to 65
Beans 2nd Quality, 1, 45 to 60
Carrot 1st Quality, 1, 37
Carrot 2nd Quality, 1, 32
Vendai Kai/Lady Finger, 1, 38
Maram Murungai, 1, 6 to 7
Chedi Murungai, 1, 10
Avarai Ottu, 1, 35
Pachai Payaru, 1, 25
Vellai Payaru, 1, 35
Suraikai, 1, 9
Beetroot, 1, 16 to 17
Sunami Sambar, 1, 24 to 25
Pusanikai, 1, 19
Kalla Manga/Mango, 1, 17 to 19
Orutu Manga/Mango, 1, 15
Potato 1st Quality, 1, 12 to 15
Potato 2nd Quality, 1, 7 to 10
Coconut 1st Quality, –, 25 to 28
Coconut 2nd Quality, –, 20 to 23
Green Chilli, 1, 11 to 35
Cauliflower 1st Quality, –, 25
Cauliflower 2nd Quality, –, 20
Katharikai Pachai, 1, 40 to 45
Katharikai ootha, 1, 35
Valai Thar, –, 20 to 25
Karuveppilai/Curry Leaf, 1 Kattu, 30
Pudalangai/Snake gourd 1st Quality, 1, 14
Pudalangai/Snake gourd 2nd Quality, 1, 9
Kothamalli 1st Quality, 1 kattu, 15
Kothamalli 2nd Quality, 1 kattu, 10
Mullangi 1st Quality, 1, 20
Mullangi 2nd Quality, 1, 15
Inji/Ginger, 1, 25
Butter Beans, 1, 140
Mutta Kose, 1, 8 to 10
Pachai Pattani, 1, 25
Pakarkai, 1, 35
Nookal, 1, 25
Chaw Chaw, 1, 25
Kovakkai, 1, 15
Kothavarangai, 1, 55
