Commodity, Weight in Kg, Price in Rs
Lemon/எலுமிச்சை, 1, 25 to 35
Tomato/தக்காளி 1st Quality, 1, 15 to 20
Tomato/தக்காளி 2nd Quality, 1, 10 to 15
Small Onion/சிறிய வெங்காயம், 1, 140 to 150
Bellary/பெல்லாரி, 1, 35 to 45
Beans/பீன்ஸ் 1st Quality, 1, 45 to 60
Beans/பீன்ஸ் 2nd Quality, 1, 40 to 55
Carrot/கேரட் 1st Quality, 1, 40 to 60
Carrot/கேரட் 2nd Quality, 1, 35 to 55
Lady Finger/வெண்டைக்காய், 1, 17
Tree Drumstick/மரம் முருங்கை, 1, 110
Plant Drumstick/செடி முருங்கை, 1, 90
Beans/அவரை ஒட்டு, 1, 18 to 35
Green Pulses/பச்சை பயிறு, 1, 13
White Pulses/வெள்ளை பயிறு, 1, 15
Zucchini/சுரைக்காய், 1, 5
Beetroot/பீட்ரூட், 1, 12
White Pumpkin/வெள்ளை பூசணிக்காய், 1, 2 to 3
Sambar Pumpkin/சாம்பார் பூசணிக்காய், 1, 2 to 4
Kalla Manga/கள்ள மாங்காய், 1, 75
OOrutu Manga/உருட்டு மாங்காய், 1, 80
Potato/உருளைக்கிழங்கு 1st Quality, 1, 15 to 18
Potato/உருளைக்கிழங்கு 2nd Quality, 1, 10
Coconut/தேங்காய் 1st Quality, 1, 40 to 43
Coconut/தேங்காய் 2nd Quality, 1, 35
Green Chilli/பச்சை மிளகாய், 1, 6 to 12
Cauliflower/காலிஃபிளவர் 1st Quality, 1, 10 to 15
Cauliflower/காலிஃபிளவர் 2nd Quality, 1, 10-
Green Brinjal/கத்தரிக்காய் பச்சை, 1, 15 to 25
Blue Brinjal/கத்தரிக்காய் நீலம், 1, 10 to 15
Banana Thar/வாழை தார், 1, 24 to 25
Curry Leaves/கறிவேப்பிலை, 1, 10 to 15
Gourd/புடலங்காய் 1st Quality, 1, 7
Gourd/புடலங்காய் 2nd Quality, 1, –
Coriander/கொத்தமல்லி 1st Quality, 1, 10 to 15
Coriander/கொத்தமல்லி 2nd Quality, 1, 10
Radish/முள்ளங்கி 1st Quality, 1, 20 to 25
Radish/முள்ளங்கி 2nd Quality, 1, 15 to 20
Ginger/இஞ்சி, 1, 20 to 25
Butter Beans/பட்டர் பீன்ஸ், 1, 80 to 100
Cabbage/முட்டை கோஸ், 1, 25 to 30
Green Peas/பச்சை பட்டாணி, 1, 80 to 100
Bitter Gourd/பாகற்காய், 1, 8 to 12
Nookal/நூக்கல், 1, 15 to 20
Chaw Chaw/சவ்சவ், 1, 5 to 8
Kovakkai/கோவக்காய், 1, 25 to 30
Cluster Beans/கொத்தவரங்காய், 1, 20 to 22
Gooseberry/நெல்லிக்காய், 1, 20 to 25
Narthangai/நார்த்தங்காய், 1, 15 to 20
Cucumber/வெள்ளரிக்காய், 1, 16 to 20
Garlic/வெள்ளை பூண்டு, 1, 100 to 130
Gourd/பீர்க்கங்காய், 1, 18 to 20
Small Tuber/சிறு கிழங்கு, 1, 30 to 35
Colocasia/சேப்பங்கிழங்கு, 1, 20 to 25
Soya beans/சோயா பீன்ஸ், 1, 80 to 120
Butter Soya/பட்டர் சோயா, 1, 80 to 120
Senai Kilangu/சேனை கிழங்கு, 1, 25 to 30
Karunai Kilangu/கருணைக்கிழங்கு, 1, 30 to 35
Drumstick beans/முருங்கை பீன்ஸ், 1, 40
Mangai Inji/மாங்காய் இஞ்சி, 1, 40
