Commodity, Weight in Kg, Price in Rs
Lemon, 1, 65 to75
Tomato/Thakkali 1st Quality, 1, 15 to20
Tomato/Thakkali 2nd Quality, 1, 10
Small Onion, 1, 80 to100
Bellary (Big Onion), 1, 13 to15
Beans 1st Quality, –, 60 to70
Beans 2nd Quality, 1, 55 to65
Carrot 1st Quality, 1, 75 to80
Carrot 2nd Quality, 1, 70 to75
Vendai Kai/Lady Finger, 1, 14 ti15
Maram Murungai, 1, 10
Chedi Murungai, 1, 15
Avarai Ottu, 1, 25 to60
Pachai Payaru, 1, 20
Vellai Payaru, 1, 25
Suraikai, 1, 12 to15
Beetroot, 1, 25 to30
Sunami Sambar, 1, 10 to12
Pusanikai, 1, 7 to10
Kalla Manga/Mango, 1, 7
Orutu Manga/Mango, 1, 9
Potato 1st Quality, 1, 12 to15
Potato 2nd Quality, 1, 10
Coconut 1st Quality, –, 25
Coconut 2nd Quality, –, 20
Green Chilli, 1, 45 tp55
Cauliflower 1st Quality, –, 25
Cauliflower 2nd Quality, –, 20
Katharikai Pachai, 1, 20
Katharikai ootha, 1, 15
Valai Thar, –, 25
Karuveppilai/Curry Leaf, 1 Kattu, 30
Pudalangai/Snake gourd 1st Quality, 1, 30
Pudalangai/Snake gourd 2nd Quality, 1, 25
Kothamalli 1st Quality, 1 kattu, 100 to110
Kothamalli 2nd Quality, 1 kattu, 95 to115
Mullangi 1st Quality, 1, 30
Mullangi 2nd Quality, 1, 25
Inji/Ginger, 1, 25
Butter Beans, 1, 200
Mutta Kose, 1, 25
Pachai Pattani, 1, 109
Pakarkai, 1, 45
Nookal, 1, 40
Chaw Chaw, 1, 25
Kovakkai, 1, 25
Kothavarangai, 1, 25
Nellikai, 1, 45
Narthangai, 1, 70
Vellarikai, 1, 28
