Commodity, Weight in Kg, Price in Rs
Lemon, 1, 50 to 55
Tomato/Thakkali 1st Quality, 1, 35 to 40
Tomato/Thakkali 2nd Quality, 1, 30 to 35
Small Onion, 1, 100 to 110
Bellary (Big Onion), 1, 12 to 13
Beans 1st Quality, –, 60 to 65
Beans 2nd Quality, 1, 55 to 60
Carrot 1st Quality, 1, 50 to 60
Carrot 2nd Quality, 1, 45 to 55
Vendai Kai/Lady Finger, 1, 25
Maram Murungai, 1, 25
Chedi Murungai, 1, 20
Avarai Ottu, 1, 60
Pachai Payaru, 1, 15
Vellai Payaru, 1, 20
Suraikai, 1, 15
Beetroot, 1, 15 to 28
Sunami Sambar, 1, 15 to 18
Pusanikai, 1, 5.50 to 6.50
Kalla Manga/Mango, 1, 13
Orutu Manga/Mango, 1, 11
Potato 1st Quality, 1, 10 to 12
Potato 2nd Quality, 1, –
Coconut 1st Quality, –, 20 to 30
Coconut 2nd Quality, –, 15
Green Chilli, 1, 40
Cauliflower 1st Quality, –, 25 to 30
Cauliflower 2nd Quality, –, 20 to 25
Katharikai Pachai, 1, 30 to 35
Katharikai ootha, 1, 25
Valai Thar, –, 29 to 30
Karuveppilai/Curry Leaf, 1 Kattu, 25 to 30
Pudalangai/Snake gourd 1st Quality, 1, 25 to 28
Pudalangai/Snake gourd 2nd Quality, 1, 15 to 23
Kothamalli 1st Quality, 1 kattu, 60 to 70
Kothamalli 2nd Quality, 1 kattu, 55 to 65
Mullangi 1st Quality, 1, 30
Mullangi 2nd Quality, 1, 25
Inji/Ginger, 1, 60
Butter Beans, 1, 160
Mutta Kose, 1, 15 to 25
Pachai Pattani, 1, 120
Pakarkai, 1, 30 to 35
Nookal, 1, 30 to 35
Chaw Chaw, 1, 17 to 20
Kovakkai, 1, 15 to 20
Kothavarangai, 1, 20
Nellikai, 1, 40
Narthangai, 1, 30
Vellarikai, 1, 18
