Commodity, Weight in Kg, Price in Rs
Lemon, 1, 40
Tomato/Thakkali 1st Quality, 1, 80
Tomato/Thakkali 2nd Quality, 1, 75
Small Onion, 1, 80 to 90
Bellary (Big Onion), 1, 12
Beans 1st Quality, –, 50 to 60
Beans 2nd Quality, 1, 45 to 55
Carrot 1st Quality, 1, 60 to 65
Carrot 2nd Quality, 1, 55 to 60
Vendai Kai/Lady Finger, 1, 30 to 32
Maram Murungai, 1, 28
Chedi Murungai, 1, 20
Avarai Ottu, 1, 50 to 60
Pachai Payaru, 1, 25
Vellai Payaru, 1, 15
Suraikai, 1, 7
Beetroot, 1, 18
Sunami Sambar, 1, 12 to 15
Pusanikai, 1, 6
Kalla Manga/Mango, 1, 20
Orutu Manga/Mango, 1, 16
Potato 1st Quality, 1, 16 to 18
Potato 2nd Quality, 1, 10
Coconut 1st Quality, –, 25 to 28
Coconut 2nd Quality, –, 20 to23
Green Chilli, 1, 55 to 62
Cauliflower 1st Quality, –, 25 to 30
Cauliflower 2nd Quality, –, 20 to 25
Katharikai Pachai, 1, 30 to 40
Katharikai ootha, 1, 25
Valai Thar, –, 25 to 29
Karuveppilai/Curry Leaf, 1 Kattu, 25
Pudalangai/Snake gourd 1st Quality, 1, 25
Pudalangai/Snake gourd 2nd Quality, 1, 20
Kothamalli 1st Quality, 1 kattu, 70 to 80
Kothamalli 2nd Quality, 1 kattu, 65 to 75
Mullangi 1st Quality, 1, 30
Mullangi 2nd Quality, 1, 25
Inji/Ginger, 1, 40
Butter Beans, 1, 90 to 100
Mutta Kose, 1, 12 to 15
Pachai Pattani, 1, 180
Pakarkai, 1, 19 to 25
Nookal, 1, 40
Chaw Chaw, 1, 17
Kovakkai, 1, 25
Kothavarangai, 1, 25
Nellikai, 1, 45
Narthangai, 1, 40
Vellarikai, 1, 25
