Commodity, Weight in Kg, Price in Rs
Belt Beans / Avarai Belt, 1, 30
Beans Kolee / Avarai Kolee, 1, 30
Avarai ottu, 1, –
Beans, 1, 35
Beetroot, 1, 8
Bellary / Big Onion, 1, 17
Cauliflower, 1 Flower, 18
Small Onion / Chinna Vengayam, 1, 15
Chaw Chaw, 1, 12
Disco Brinjal / Kaththari kai Disco, 1, 17
Green Brinjal / Kaththari Kai Pachai, 1, 20
Cluster Beans / Kothavarai, 1, 17
Samba Chilli / Milagai Samba, 1, 25
Round Chilli / Milagai Urundai, 1, 40
Radish / Mullangi, 1, 7
Drumstick / Murungai Chedi, 1, 80
Drumstick / Murungai Maram, 1, 60
Nelli Kai, 1, 23
Bitter Gourd / Pakar kai, 1, –
Perkangkai, 1, 17
Snake Guard / Pudalai, 1, 8
Red Pumpkin / Red Pusanikkai, 1, 5
Sambar Vellari, 1, 5
Bottle gourd / Suraikai, 1, 5
Tomato / Thakkali, 1, 8
Thatta payaru, 1, 30
Lady’s Finger / Venda Kai, 1, 15
Lemon / Elumbichai, 1, 20
