Commodity, Weight in Kg, Price in Rs
Lemon, 1, 30
Tomato/Thakkali 1st Quality, 1, 60
Tomato/Thakkali 2nd Quality, 1, 55
Small Onion, 1, 60 to 110
Bellary (Big Onion), 1, 11 to 12
Beans 1st Quality, –, 55 to 65
Beans 2nd Quality, 1, 50 to 60
Carrot 1st Quality, 1, 55 to 60
Carrot 2nd Quality, 1, 50 to 55
Vendai Kai/Lady Finger, 1, 32
Maram Murungai, 1, 30
Chedi Murungai, 1, 22
Avarai Ottu, 1, 45 to 58
Pachai Payaru, 1, 35
Vellai Payaru, 1, 25
Suraikai, 1, 8
Beetroot, 1, 18
Sunami Sambar, 1, 15
Pusanikai, 1, 5.50 to 6.50
Kalla Manga/Mango, 1, 20 to 25
Orutu Manga/Mango, 1, 10 to 15
Potato 1st Quality, 1, 10 to 15
Potato 2nd Quality, 1, 10
Coconut 1st Quality, –, 25 to 29
Coconut 2nd Quality, –, 20 to24
Green Chilli, 1, 45 to 65
Cauliflower 1st Quality, –, 25 to 30
Cauliflower 2nd Quality, –, 20 to 25
Katharikai Pachai, 1, 35 to 40
Katharikai ootha, 1, 20
Valai Thar, –, 29
Karuveppilai/Curry Leaf, 1 Kattu, 20
Pudalangai/Snake gourd 1st Quality, 1, 25
Pudalangai/Snake gourd 2nd Quality, 1, 20
Kothamalli 1st Quality, 1 kattu, 70
Kothamalli 2nd Quality, 1 kattu, 65
Mullangi 1st Quality, 1, 30
Mullangi 2nd Quality, 1, 25
Inji/Ginger, 1, 40
Butter Beans, 1, 120
Mutta Kose, 1, 15
Pachai Pattani, 1, 180
Pakarkai, 1, 28 to 30
Nookal, 1, 45 to 50
Chaw Chaw, 1, 18 to 20
Kovakkai, 1, 20
Kothavarangai, 1, 15 to 20
Nellikai, 1, 25
Narthangai, 1, 40
Vellarikai, 1, 25
